cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
41,20,21,2.2,41,26450.4,-0.847682,48.9142,13.7112,84.3911,0.101845,57.4306,414.764,-0.181207,-0.640585,0.543076,1.76172,-0.433714,113.676,12388.2,43.6794,16954.8,22023,-0.896993,-1.35637,-0.888497,1.04593,-1.1495,0.726232,12243.5,40.7267,16810.1,0.44456,0.994212,0.00444313,27540.7,0.0270931,932.531,0.0268347,0.0324901,-2.01308,-28.6022,104.73,97.0719,-300524,5.17368,10.759,100.006,232.274,4.72315,-135.202 
42,3,4,0,42,28319.8,-0.0185678,51.8862,-13.2515,84.5952,-0.0485545,1.20516,499.999,0.808723,-2.88793,-0.543976,-0.673868,-0.950253,160.72,13818.7,37.5671,17408.1,22384.5,-0.203285,-3.89994,-2.56799,-1.68588,-1.96226,0.751148,13614.2,33.3925,17203.6,0.465133,0.995726,0.00356283,29269.4,0.029008,922.627,0.0287779,0.0418991,-2.33495,-28.938,104.802,96.9306,-255237,5.13668,10.5728,100.036,231.495,4.76618,-134.564 
43,3,4,10,43,26447.6,-0.856242,49.54,13.5564,84.2949,0.00355098,89.834,448.011,0.373067,-2.11878,-3.23335,1.25212,-1.06351,119.765,13170.8,43.4039,16311.4,21872.6,-0.381063,-2.87291,-4.74161,0.497989,-1.81764,0.490983,13018.4,40.2932,16159,0.469587,0.994613,0.00457237,27723.1,0.0270903,969.999,0.0270152,0.0261395,-0.389058,-27.359,104.033,100.849,-293206,5.12137,10.5368,100.005,232.028,4.02752,-131.179 
44,20,21,2.2,44,26709,-0.818215,49.88,13.4913,84.3632,0.127947,-183.413,123.06,-2.77487,-0.913068,-4.11,1.54866,-2.25584,76.1535,12955.8,28.3928,16638.6,22670.5,-3.25439,-1.39259,-5.06903,1.06914,-2.73535,0.554653,12858.9,26.4148,16541.7,0.460698,0.996418,0.00293296,27911.9,0.027358,996.969,0.0355287,0.0328398,-0.178456,-36.2436,103.844,94.2825,-173474,495.964,149.379,118.096,757.572,-14.2519,-663.289 
45,3,4,0,45,26978.5,-0.844415,50.5315,13.492,84.3253,0.576702,765.136,499.927,4.01786,-2.57562,-0.230349,3.17663,-0.2283,132.442,13445.4,36.3264,16639.4,36558.3,3.18391,-3.40957,-1.89825,2.34268,-1.06225,-1.25049,13276.8,32.8864,16470.8,0.469722,0.995684,0.00366456,28265.2,0.0276341,971.41,0.0361727,0.0326568,0.082196,-26.8745,103.547,98.8186,-128374,445.057,146.793,115.707,740.912,-12.1606,-642.093 
46,3,4,10,46,26550.3,-0.0519336,48.908,13.1298,84.4071,0.0058834,13.2553,500,1.14121,-3.18731,-2.8563,-1.65937,-2.53894,92.7339,12833.4,40.7886,16406.2,20906.7,0.55729,-3.77123,-4.02414,-2.24329,-3.12286,0.680731,12715.4,38.3799,16288.2,0.461746,0.994746,0.0043218,27537.6,0.0271955,928.246,0.0274305,0.0252767,-0.267378,-36.028,103.887,98.5255,-173399,27.0915,15.7915,104.265,247.238,-0.377752,-148.713 
47,20,21,2.2,47,26701.7,-0.178403,50.3037,13.1531,84.5941,-0.0186829,108.318,5.93047e-13,-0.976368,0.566417,-0.014807,1.09343,-3.23036,135.781,13137.7,42.2792,16662.6,21604.7,-1.83134,-0.288557,-1.72476,0.238452,-4.08533,0.775759,12964.9,38.7524,16489.8,0.463519,0.994796,0.00431045,27970.6,0.0273506,916.876,0.03554,0.0335677,0.029975,-27.6073,103.643,101.373,-176429,428.412,143.764,60.2156,735.548,43.4273,-634.175 
48,3,4,0,48,27069.9,-0.85821,50.6016,13.5435,84.0429,0.13596,558.296,40.3493,-2.23758,-1.29708,0.704047,1.23123,-1.12521,122.164,12767.2,38.6806,17270.7,24780.5,-3.00681,-2.06631,-0.834417,0.461995,-1.89444,0.886319,12611.7,35.5075,17115.2,0.447438,0.995097,0.00380712,28186.5,0.0277277,980.575,0.035775,0.021298,-0.111077,-36.4655,103.897,95.2699,-174317,436.983,143.737,106.335,735.677,-2.43775,-640.407 
49,3,4,10,49,25464.6,-0.77787,47.3664,13.54,84.2169,0.715145,-12.206,430.812,-0.891539,-1.87814,-2.24846,-2.45464,1.33101,93.295,12289,32.6373,16080.8,21162,-1.47899,-2.4656,-3.42337,-3.0421,0.743561,0.645852,12170.2,30.2141,15962,0.455888,0.995674,0.00347475,26695.7,0.0260834,997.305,0.0260012,0.0291391,-0.571645,-26.6168,103.858,100.506,-289430,5.12547,10.6137,99.999,232.232,3.85891,-131.726 
50,20,21,2.2,50,26233.6,-0.841575,49.0577,13.561,84.598,-0.622299,964.792,321.435,2.09005,2.31906,-2.12642,-0.773088,1.1847,107.93,12230.8,39.7952,16908.2,41201.4,1.41044,1.63945,-3.48563,-1.45269,0.505093,-1.51972,12093.4,36.9919,16770.9,0.442093,0.994676,0.00404673,27354.9,0.0268711,998.492,0.0268022,0.0358315,-0.885893,-28.9716,103.952,97.3535,-277623,5.18267,10.9534,100.019,231.787,3.93321,-134.434 
