cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,fermi3,fermi4,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc,alpha_visc,smomE,smomEkHz,smomEoEFEst,smomEoEF
111,18,0.7,0.01,10,111,4.29296e-07,7.90858e-07,1.0919e-29,16.4788,0.542823,1062.49,2846.28,2770.88,4.94164,21.3086,20.468,-0.160487,-9.51218e-31,4.91184e-13,1.04201,0.957736,44154.7,66350.8,1.49676,24.6648,1.40479,23.1493,1.38598,0.0066,1.42049,3.7,4.79749,1.82701e-29,27.573,1.72331,1.67324 
112,18,0.7,0.01,10,112,4.38199e-07,6.99693e-07,9.66032e-30,14.5793,0.626273,1062.49,2846.28,2770.88,4.94421,21.3077,20.4672,-0.542846,-3.28422e-30,9.26561e-13,0.678512,0.633846,30577.7,49211.4,1.75514,25.5886,1.59137,23.201,1.78841,0.0066,1.36536,3.7,4.95157,1.86354e-29,28.1244,1.75777,1.92907 
113,18,0.7,10,0.01,113,4.82079e-07,7.87516e-07,1.08728e-29,16.4092,0.612151,1062.49,2846.28,2770.88,4.95738,21.3032,20.463,-0.481589,-3.20537e-30,1.53394e-13,0.726561,0.676861,43597.3,65718.6,1.71083,28.0734,1.55874,25.5777,1.72372,0.0066,1.34492,3.7,5.74351,2.03144e-29,30.6583,1.91614,1.86836 
114,18,0.7,0.01,10,114,4.34198e-07,7.48972e-07,1.03407e-29,15.6061,0.579725,1062.49,2846.28,2770.88,4.94455,21.3076,20.4671,-0.336,-2.01423e-30,6.41106e-13,0.855428,0.791759,37504.1,57749.1,1.60973,25.1215,1.48543,23.1817,1.57009,0.0066,1.39556,3.7,4.97192,1.86827e-29,28.1957,1.76223,1.80671 
115,18,0.7,0.01,10,115,4.20277e-07,7.64585e-07,1.05563e-29,15.9314,0.54968,1062.49,2846.28,2770.88,4.93802,21.3098,20.4691,-0.193985,-1.12561e-30,1.21701e-12,1.0035,0.923477,39898.8,62524.8,1.51754,24.1765,1.41955,22.6154,1.42099,0.0066,1.41744,3.7,4.58066,1.77321e-29,26.7611,1.67257,1.67977 
116,18,0.7,10,0.01,116,4.86921e-07,8.05728e-07,1.11243e-29,16.7887,0.604325,1062.49,2846.28,2770.88,4.95947,21.3025,20.4623,-0.447107,-3.00576e-30,4.15754e-13,0.755158,0.702407,46692.5,71389,1.68633,28.3112,1.54084,25.8686,1.6873,0.0066,1.33567,3.7,5.86981,2.05551e-29,31.0215,1.93884,1.84776 
117,18,0.7,0.01,10,117,4.32873e-07,7.95036e-07,1.09767e-29,16.5659,0.54447,1062.49,2846.28,2770.88,4.94242,21.3083,20.4677,-0.168567,-1.00743e-30,8.00104e-13,1.03259,0.949355,44858.2,68073.9,1.50175,24.8777,1.40833,23.3302,1.39442,0.0066,1.41173,3.7,4.84412,1.83821e-29,27.742,1.73388,1.67465 
118,18,0.7,10,0.01,118,4.74356e-07,7.64653e-07,1.05572e-29,15.9328,0.620355,1062.49,2846.28,2770.88,4.961,21.302,20.4619,-0.517324,-3.38806e-30,2.957e-13,0.698116,0.651411,39909.3,60153.5,1.73656,27.6682,1.57765,25.1363,1.76146,0.0066,1.36158,3.7,5.96188,2.07264e-29,31.28,1.955,1.96325 
119,18,0.7,0.01,10,119,4.24697e-07,8.11358e-07,1.1202e-29,16.906,0.52344,1062.49,2846.28,2770.88,4.9409,21.3088,20.4682,-0.0634088,-3.71803e-31,4.90778e-13,1.16211,1.06462,47678.1,70809,1.43858,24.3206,1.36366,23.054,1.28488,0.0066,1.41257,3.7,4.75286,1.81616e-29,27.4093,1.71308,1.62128 
120,18,0.7,0.01,10,119,4.14052e-07,7.88807e-07,1.08907e-29,16.4361,0.524909,1062.49,2846.28,2770.88,4.9349,21.3108,20.4701,-0.0708988,-4.05301e-31,8.47825e-13,1.15238,1.05595,43812.1,65998.5,1.44296,23.7166,1.36675,22.464,1.29266,0.0066,1.44513,3.7,4.39376,1.72455e-29,26.0268,1.62667,1.58351 
