cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
58,0.39,3.61,58,16248.5,-0.128471,28.2487,13.0098,121.848,0.0738283,10.2759,1.61434,-0.0144279,-2.83037,-1.29761,-0.988817,1.18842,32.0474,1451.15,631.811,13987.9,11988.4,-0.216222,-3.03217,-1.7012,-1.19061,0.986626,0.669899,1415.13,623.336,13951.8,0.16322,0.564704,0.0760426,8670.09 
59,0.25,3.75,59,16104.2,0.0356182,27.5135,13.0018,122.027,-0.0696796,-28.5784,500,-2.46287,-1.13812,-4.11042,3.49066,-0.42408,31.4183,1587.82,648.53,13578.9,11710,-2.6607,-1.33595,-4.50609,3.29283,-0.621913,0.227329,1552.51,640.221,13543.6,0.180625,0.580834,0.0801032,8595.17 
60,0.27,3.73,60,17406.8,0.0401121,29.5624,-12.9475,122.014,-0.00181373,-0.991281,500,6.24901,-2.04767,-6.85039,-1.04888,2.11419,68.2048,1525.18,554.962,14962,12460.1,5.81954,-2.47714,-7.70933,-1.47835,1.68473,-0.85296,1448.52,536.925,14885.3,0.157638,0.606547,0.0623061,9188.89 
61,0.33,3.67,61,16427.7,-0.0897537,28.6696,12.8015,122.035,0.0279992,13.901,157.73,1.23248,-1.15929,-1.53336,-1.97474,-3.49932,24.0096,1460.9,651.82,14086.5,11960.1,1.0813,-1.31048,-1.83573,-2.12592,-3.65051,0.765891,1433.92,645.471,14059.5,0.163973,0.559361,0.0779765,8744.84 
62,0.05,3.95,62,14733.2,0.00262524,25.9932,12.7324,121.821,-0.0075483,-7.17002,0.0822589,3.49369,-0.750007,0.3361,5.31165,-1.57087,79.0845,1558.94,699.764,12412.9,10775.5,2.99571,-1.24798,-0.659848,4.81367,-2.06885,1.17216,1470.06,678.849,12324,0.18659,0.55306,0.0921221,7878.53 
63,0.01,3.99,63,15445.1,0.0201356,26.9856,-12.6481,121.764,0.0022765,11.9889,3.16511e-09,2.19436,2.29706,2.21286,-1.18885,-1.84694,40.5274,1422.42,597.666,13072.6,11111.9,1.93917,2.04187,1.70248,-1.44404,-2.10213,0.203462,1376.87,586.948,13027,0.168922,0.572734,0.0766375,8150.92 
64,0.11,3.89,64,17106.1,-0.112837,29.6119,13.0787,121.837,0.0500718,35.0237,68.8391,-3.77505,2.02359,-3.88565,-1.11673,2.86689,61.8493,1723.22,788.331,14459.1,12664.5,-4.1645,1.63414,-4.66455,-1.50618,2.47745,0.25051,1653.7,771.974,14389.6,0.181004,0.55038,0.0899372,9136.3 
65,0.07,3.93,65,16032.2,-0.0561863,27.4497,12.9187,121.98,0.0275176,-42.8271,499.315,3.73205,-1.91711,0.478698,-2.19348,-2.31484,48.6581,1595.9,637.418,13341.7,11582.3,3.42567,-2.2235,-0.134076,-2.49987,-2.62123,0.966919,1541.21,624.55,13287,0.182382,0.585083,0.0796874,8450.45 
66,0.13,3.87,66,17229.7,0.00118009,29.7124,12.9827,122.061,-0.000584358,-3.25302,6.28113e-11,-0.962597,2.16093,-0.883256,-1.747,-2.08244,44.4668,1736.45,844.078,14400.8,12557.4,-1.24259,1.88093,-1.44325,-2.02699,-2.36244,0.72215,1686.47,832.318,14350.8,0.184336,0.536575,0.0965256,9148.9 
67,0.09,3.91,67,14060,-0.0112871,24.8296,12.6185,121.762,-0.0150174,-18.6582,500,0.562259,-0.774059,2.68908,1.02324,1.2378,-7.64625,1447.06,629.322,11734.7,10208.5,0.610406,-0.725912,2.78537,1.07138,1.28595,0.445939,1455.65,631.344,11743.3,0.192492,0.568502,0.0901114,7562.15 
