cyc,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
315,0.28,309,3.54193e-07,6.79577e-07,9.38258e-30,14.1601,0.521196,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-0.0519329,-2.53961e-31,-2.66422e-13,28015.5,37065,1.4319,20.2758,1.35895,19.2429,1.1691,0.0066,1.44054,6.683e-06 
316,0.28,309,3.51771e-07,6.90877e-07,9.5386e-30,14.3956,0.509166,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0104674,5.08375e-32,-1.04344e-12,29436.3,38124.9,1.39626,20.0999,1.33391,19.2024,1.22924,0.0066,1.39921,6.683e-06 
317,0.28,309,3.4158e-07,7.07673e-07,9.77049e-30,14.7455,0.48268,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.153531,7.24055e-31,-2.75746e-13,31635.9,41897.2,1.31905,19.4501,1.27997,18.8738,1.36809,0.0066,1.42493,6.683e-06 
318,0.28,309,3.2732e-07,7.5516e-07,1.04261e-29,15.735,0.433444,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.444493,2.00873e-30,-1.46133e-13,38441.4,50707,1.18124,18.5869,1.18412,18.6321,1.65572,0.0066,1.44729,6.683e-06 
319,0.28,309,3.36106e-07,6.73517e-07,9.29892e-30,14.0338,0.499032,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0642416,2.9811e-31,-5.03943e-13,27272.7,35684.2,1.36649,19.1771,1.31308,18.4275,1.28126,0.0066,1.408,6.683e-06 
320,0.28,309,3.44327e-07,7.35636e-07,1.01566e-29,15.3282,0.468067,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.236203,1.1229e-30,-5.43982e-13,35536.2,47169.1,1.27732,19.5791,1.25091,19.1742,1.44906,0.0066,1.3967,6.683e-06 
321,0.28,309,3.27901e-07,7.45288e-07,1.02898e-29,15.5293,0.439966,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.403801,1.82807e-30,2.78892e-13,36953.4,50269.7,1.19902,18.62,1.19647,18.5804,1.61503,0.0066,1.41175,6.683e-06 
322,0.28,309,3.28212e-07,6.92322e-07,9.55855e-30,14.4257,0.474074,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.20188,9.14809e-31,-3.36888e-13,29621.5,39075,1.29439,18.6725,1.26279,18.2166,1.41538,0.0066,1.41551,6.683e-06 
323,0.28,309,3.53074e-07,7.055e-07,9.74049e-30,14.7003,0.500459,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0566112,2.75963e-31,-3.8564e-13,31345.4,41763.5,1.37069,20.1495,1.316,19.3455,1.27388,0.0066,1.3996,6.683e-06 
324,0.28,309,3.22564e-07,7.0464e-07,9.72861e-30,14.6823,0.457771,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.296224,1.31923e-30,1.89712e-13,31230.8,42125.9,1.24833,18.3284,1.23074,18.0702,1.50821,0.0066,1.43561,6.683e-06 
325,0.28,309,3.46821e-07,7.12032e-07,9.83068e-30,14.8364,0.487086,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.129153,6.18436e-31,-1.61505e-13,32224.1,43363.4,1.33176,19.7585,1.28883,19.1215,1.34433,0.0066,1.40225,6.683e-06 
326,0.28,309,3.41054e-07,7.5301e-07,1.03964e-29,15.6902,0.452921,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.325038,1.53053e-30,-1.00883e-12,38113.9,49814.9,1.23479,19.3741,1.22133,19.1629,1.53672,0.0066,1.40606,6.683e-06 
327,0.28,309,3.55654e-07,7.23939e-07,9.99507e-30,15.0845,0.491276,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.106192,5.21436e-31,-6.02117e-13,33867.9,45277.4,1.3439,20.272,1.29729,19.569,1.32198,0.0066,1.37952,6.683e-06 
328,0.28,309,3.40319e-07,7.0877e-07,9.78564e-30,14.7684,0.480155,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.167616,7.87563e-31,-1.62996e-13,31783.2,42414.2,1.31179,19.3731,1.27491,18.8283,1.38185,0.0066,1.42113,6.683e-06 
329,0.28,309,3.4804e-07,7.62065e-07,1.05215e-29,15.8789,0.456707,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.302516,1.45366e-30,-3.95849e-13,39505.5,52495.4,1.24535,19.7748,1.22867,19.51,1.51443,0.0066,1.41495,6.683e-06 
330,0.28,309,3.44054e-07,6.94697e-07,9.59134e-30,14.4752,0.495257,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.0845683,4.01715e-31,-8.90416e-14,29927.4,39962,1.35548,19.6208,1.30538,18.8956,1.30098,0.0066,1.4013,6.683e-06 
331,0.28,309,3.33985e-07,7.46474e-07,1.03062e-29,15.554,0.447416,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.358176,1.65161e-30,-1.58026e-13,37130.1,49771.6,1.21952,18.9685,1.21072,18.8316,1.5696,0.0066,1.40382,6.683e-06 
332,0.28,309,3.51056e-07,7.13026e-07,9.8444e-30,14.8571,0.492347,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,0.100355,4.86407e-31,-1.74515e-13,32359.2,44032.8,1.34702,20.0128,1.29947,19.3062,1.31632,0.0066,1.38423,6.683e-06 
