cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
42,7,9,42,37828.7,-0.352019,70.9779,12.1392,116.426,0.268287,-2.42862,15.6384,-1.00359,3.08196,6.52723,3.14374,-1.73753,2.27192,19019.6,126.022,19523.3,28069.7,-1.0179,3.06766,6.49862,3.12943,-1.75184,0.345292,19016.5,125.904,19520.2,0.458619,0.988546,0.011742,41464.6,-0.000958223,1.50239,12.4671,12.5388,116.881,88.9648,1.53515,11.929,13.217,115.657,139.943,1.22438,-50.9786 
43,23,25,43,28962.4,0.0100512,53.9487,12.1903,116.517,0.0596228,-341.78,1.92688e-11,-1.58679,1.70202,-1.66412,0.573759,-2.81439,-22.747,14410.7,96.2229,15281.2,22072,-1.44356,1.84525,-1.37766,0.71699,-2.67116,0.52983,14442.6,97.4046,15313.1,0.45059,0.988335,0.0115817,32052.6,-0.00102134,1.11966,12.7033,12.559,116.77,89.4326,1.17521,12.124,13.3689,115.8,140.888,0.970198,-51.4553 
44,13,15,44,29219,0.0686246,56.2638,11.7718,116.416,0.125499,-2.22929,1.06609,-4.8913,1.34172,3.42715,-2.30035,-4.27869,-0.0972491,14110.6,58.3162,15916.1,21570,-4.89069,1.34233,3.42838,-2.29974,-4.27808,1.51187,14110.8,58.3213,15916.2,0.435324,0.992819,0.00670471,32414.5,-0.00118896,1.17535,12.2613,12.1068,116.741,88.6308,1.26645,11.9054,13.2722,115.752,139.872,0.988926,-51.2413 
45,1,3,45,41248.3,-0.0760642,77.995,11.8948,116.55,-0.0437816,42.0596,499.999,-1.25328,-1.51591,6.79032,-0.526724,-0.857076,-24.0817,21195.7,108.685,20770.4,30260.7,-1.10164,-1.36428,7.09359,-0.375088,-0.705439,-0.999802,21229.5,109.936,20804.2,0.470154,0.991019,0.00964042,45154.3,-0.00090114,1.74633,12.355,12.0488,116.911,88.9656,1.68685,11.6298,13.1539,115.844,140.311,1.06724,-51.3456 
46,5,7,46,36328.8,-0.22139,71.0338,11.7758,116.495,-0.00183202,521.452,487.012,0.229697,2.0562,-2.83891,1.01869,-3.00233,-132.994,18626.5,80.6656,18580.8,27261.3,1.06712,2.89363,-1.16406,1.85612,-2.1649,1.46789,18813,87.5744,18767.3,0.465721,0.99192,0.00852259,40395.4,-0.00127544,1.59566,12.1774,11.8123,116.865,88.7205,1.53097,11.6856,13.0458,115.769,139.841,1.09548,-51.1209 
47,35,37,47,33397.1,-0.4454,62.876,12.3409,116.191,0.419279,-388.333,207.654,-0.367215,-1.40695,-3.17302,-3.80971,-1.6387,-30.979,17410.2,91.428,16846.9,30559.9,-0.172148,-1.21188,-2.78288,-3.61465,-1.44363,0.698339,17453.6,93.0373,16890.3,0.473287,0.990758,0.010045,36877.5,-0.00128093,1.35782,12.7189,12.3956,116.475,89.1776,1.32332,12.081,13.323,115.383,140.467,1.09155,-51.2895 
48,25,27,48,29779.4,-0.375541,55.7739,12.3613,116.36,-0.00275512,276.357,348.616,2.5782,-1.83081,-1.96242,1.40428,-2.46938,-101.988,15303.2,99.4345,15218.6,22468.3,3.22039,-1.18862,-0.678038,2.04647,-1.82719,1.43104,15446.2,104.733,15361.7,0.466482,0.988273,0.0124033,33112.2,-0.000922076,1.16513,12.7511,12.6697,116.557,89.235,1.1525,12.0764,13.6168,115.637,140.789,0.919714,-51.5537 
49,125,127,49,28367.1,-0.189374,54.3048,11.9637,116.449,0.00566883,463.895,0.0511279,-1.49228,-2.06426,4.56243,2.00493,-1.74384,-96.4941,14136.5,70.699,15095.3,21235.1,-0.884681,-1.45666,5.77763,2.61252,-1.13624,-0.17609,14271.9,75.7117,15230.6,0.448983,0.990802,0.00907404,31787.1,-0.00129502,1.16469,12.3456,12.2512,116.904,89.2709,1.21118,11.9093,13.1349,115.753,140.643,1.15124,-51.3721 
50,85,87,50,31110,-0.409035,59.031,12.2117,116.309,0.238825,-1239.27,269.597,-3.70841,-1.09464,4.49327,0.324206,-0.105908,-63.6931,15014.3,107.352,16926.8,33101.4,-3.30735,-0.693579,5.29539,0.725265,0.295151,-1.28755,15103.6,110.661,17016.1,0.435613,0.98734,0.011838,34672.1,-0.00134982,1.2016,12.5234,12.4195,116.529,88.5223,1.28516,12.1964,13.5959,115.594,139.902,0.934823,-51.3801 
51,65,67,51,32190.4,-0.39928,60.0163,12.4275,116.232,-0.153124,32.3347,79.9926,-3.7141,-2.53346,4.66556,-0.975288,0.0828538,-56.5979,16745.6,109.965,16328.6,24441,-3.35772,-2.17707,5.37833,-0.618906,0.439236,17.0006,16825,112.905,16408,0.471365,0.988393,0.012517,35694.1,-0.0012707,1.27742,12.8484,12.5674,116.44,89.061,1.26691,12.0999,13.4296,115.462,140.219,0.977484,-51.1583 
