cyc,time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
42,0.15,43.24,42,31184,-0.0136341,60.231,11.7859,116.483,-0.0296336,37.2494,500,-2.31778,-2.54798,1.26313,-1.15741,-2.31319,-39.0494,15358.5,151.562,16597.2,23144.8,-2.07189,-2.30209,1.7549,-0.911528,-2.06731,1.31349,15413.2,154.605,16651.9,0.445946,0.982749,0.0168154,34563,-0.00110368,1.23071,12.1976,12.6774,116.884,89.9617,1.29058,11.7988,13.6054,115.65,141.23,1.23336,-51.2685 
43,0.15,43.05,43,39302.6,-0.358457,74.2185,12.0504,116.103,0.414352,49.5372,383.953,-1.16675,4.57226,-2.29766,0.634695,-1.97912,15.3774,20150.8,211.378,19711.9,29782.6,-1.26358,4.47543,-2.49132,0.537868,-2.07595,-2.04732,20129.2,210.18,19690.3,0.470605,0.982055,0.0192839,42773.1,-0.00102972,1.60637,12.334,12.4603,116.445,89.2536,1.55832,11.7862,13.5613,115.322,140.481,1.12316,-51.2276 
44,0.15,43.2,44,36917.3,-0.0752098,71.011,11.7739,116.646,0.0206815,-7.09214,499.796,0.232417,1.95487,1.43423,-3.97822,0.41759,-22.2802,19207,170.641,18397.5,27222,0.372709,2.09516,1.71481,-3.83793,0.557883,-0.899782,19238.3,172.377,18428.7,0.475826,0.984562,0.0169386,40431.3,-0.00113212,1.56321,12.2365,12.3635,117.037,89.4917,1.47259,11.6352,13.5199,115.919,140.95,1.11771,-51.4585 
45,0.15,43.3,45,37641.3,-0.232652,72.1271,11.9124,116.574,0.364677,36.1065,470.705,-1.18977,-0.072883,-2.5911,1.02608,-2.71747,-10.9275,19895.2,174.708,18343.9,28398.7,-1.12096,-0.00407559,-2.45348,1.09489,-2.64866,0.521951,19910.5,175.56,18359.2,0.485343,0.984804,0.0173102,41023.6,-0.00114075,1.62226,12.2215,12.3292,116.811,89.4643,1.43839,11.8747,13.6232,115.864,140.767,0.94728,-51.303 
46,0.15,43.25,46,33290.2,-0.347763,63.3006,12.0465,116.418,0.995644,-928.824,372.9,0.617303,2.38323,-0.485392,-2.80447,0.554331,-32.5762,16703.5,197.784,17129.9,54928.1,0.822426,2.58835,-0.075145,-2.59934,0.759454,1.05024,16749.2,200.322,17175.6,0.458869,0.979499,0.0210329,36501.2,-0.00105726,1.32838,12.2919,12.5514,116.724,89.1009,1.29919,12.0143,13.9476,115.614,140.465,1.10983,-51.3642 
47,0.15,43.125,47,39874.1,-0.0847603,74.9877,11.9805,116.679,0.131773,2.00801,4.08822e-13,1.62579,0.339407,-5.38452,-1.42915,-2.006,4.25157,21180.9,202.612,19293.4,29254.1,1.59902,0.312636,-5.43807,-1.45592,-2.03277,0.224806,21174.9,202.281,19287.4,0.488403,0.983557,0.0189533,43355.4,-0.000888636,1.68565,12.3398,12.4459,117.006,89.3636,1.52439,11.7551,13.5114,115.965,140.684,1.0412,-51.3208 
48,0.15,43.275,48,38039.3,-0.386159,74.2101,11.7243,116.501,1.28337,-1182.4,196.237,0.539099,1.97649,-0.277703,-3.53561,-2.61354,-71.2131,20276.9,165.79,18402,77721.7,0.98751,2.4249,0.619117,-3.0872,-2.16513,1.50714,20376.8,171.339,18501.9,0.489192,0.985498,0.0167729,41654,-0.00107436,1.69841,11.9943,12.2082,116.847,89.7285,1.52294,11.5362,13.2275,115.774,140.976,1.07351,-51.2477 
49,0.15,43.21,49,32432.8,-0.169126,64.3134,11.5213,116.626,-0.155593,430.47,500,2.52388,0.96164,-0.849225,-2.22332,-0.963935,-32.7331,17047.1,123.906,16268,26301.5,2.72999,1.16775,-0.437002,-2.01721,-0.757823,1.63729,17093,126.456,16314,0.476738,0.987219,0.0140779,35854,-0.00126237,1.46072,11.94,12.0689,117.069,89.8065,1.39139,11.3095,12.9955,115.846,141.071,1.22229,-51.2645 
50,0.15,43.325,50,39633.7,-0.0285011,76.3101,11.8038,116.558,-0.015471,-29.4031,500,2.07135,-2.28824,-1.96162,-1.36091,-2.717,5.27778,20640.2,192.466,19694.4,29337.2,2.03812,-2.32148,-2.02808,-1.39414,-2.75023,0.685852,20632.8,192.054,19687,0.476807,0.983972,0.0176532,43272.9,-0.00119305,1.69989,12.209,12.2172,116.933,90.5561,1.59941,11.6646,13.3316,115.715,142.012,1.21839,-51.4559 
51,0.15,43.175,51,36921.4,-0.155625,72.5727,11.5397,116.39,0.0453577,-38.0324,17.1807,0.590134,1.7844,-3.15573,1.69603,2.52741,16.2501,19616.2,160.845,18079,27318.4,0.487812,1.68207,-3.36038,1.5937,2.42509,2.18813,19593.4,159.579,18056.2,0.48549,0.985947,0.0160196,40358,-0.00121462,1.65603,12.0357,12.1258,116.898,89.6362,1.52215,11.4759,13.0323,115.543,140.965,1.35502,-51.3288 
