cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
43,100,43,15957.5,0,5,101,125,0,5,135,-8.15,-6.98983,-8.60159,-6.95567,-3.67253,1.27341,17.489,22370.6,27.0575,16439.4,-8.15492,-6.99475,-8.61143,-6.96059,-3.67745,0.749661,17.4146,22365,26.9831,0.349731,0.000444748,0.999345,49.7943,733.678,912.954,0.710885,32206.9,8.45145e-07,0.96838,109.238,82.6779,29.1717,32.2328,0.905034,773.553,962.072,1.02075 
44,120,44,15346.5,0,5,101,125,0,5,135,-6.98515,-2.58417,-6.3522,-4.97816,-2.92952,-14.9849,11.6635,21369,15.0025,16439.4,-6.92725,-2.52627,-6.23641,-4.92026,-2.87162,0.734415,12.5392,21434.7,15.8782,0.396898,0.000334173,0.999598,31.5931,760.838,918.24,6.09605e+10,30866,8.3325e-07,1.00311,109.181,83.209,28.931,31.4899,0.918736,760.836,918.239,1.00311 
45,50,45,18712.6,0,5,101,125,0,5,135,-5.8363,-3.67465,-6.30165,-5.7828,-6.30064,-73.786,10.4162,24523.4,18.9297,16439.4,-5.55121,-3.38955,-5.73146,-5.4977,-6.01554,0.781121,14.7282,24846.8,23.2417,0.345585,0.000338607,0.999492,42.6183,696.335,857.3,0.883225,34186.7,8.6212e-07,0.896207,109.127,83.4413,28.0774,30.8669,0.909627,716.604,882.265,0.922298 
46,5,46,21441,0,5,101,125,0,5,135,-7.79993,-5.77804,-11.0512,-6.91029,-2.96856,-15.7249,18.615,27965.4,-0.437254,16439.4,-7.73918,-5.71728,-10.9297,-6.84953,-2.90781,0.67989,19.534,28034.3,0.48171,0.971258,0.000398007,0.999991,20.1121,514.256,603.727,0.656546,37582.4,8.89767e-07,0.626229,109.31,84.819,24.5425,26.3458,0.931553,547.525,642.741,0.66672 
47,20,47,20892.7,0,5,101,125,0,5,135,-6.40955,-6.06646,-7.71824,-3.35282,-5.89626,-75.7027,16.5968,26796.9,9.84019,16439.4,-6.11705,-5.77396,-7.13324,-3.06032,-5.60376,0.742374,21.0209,27128.7,14.2643,0.55118,0.000442581,0.999715,38.138,582.612,707.388,0.736701,36514.5,8.81259e-07,0.728475,108.686,83.8011,25.9133,28.2849,0.916151,610.394,740.836,0.763067 
48,2.5,48,19489,0,5,101,125,0,5,135,-6.522,-6.18474,-7.65496,-4.30698,-2.05881,66.3105,-1.73223,25681.3,-9.38273,16439.4,-6.77821,-6.44095,-8.16738,-4.56319,-2.31502,0.71104,-5.60742,25390.6,-13.2579,0.260605,-0.000126214,1.00028,-21.5169,437.919,531.785,0.534802,34432.1,8.64178e-07,0.558421,109.204,85.1691,23.1195,25.2507,0.915596,485.871,590.419,0.61978 
49,10,49,20189.2,0,5,101,125,0,5,135,-2.73336,-2.97123,-4.59437,-5.3427,-4.34034,-35.7829,12.7519,26582.1,-4.25448,16439.4,-2.5951,-2.83297,-4.31786,-5.20444,-4.20208,0.774553,14.843,26739,-2.16333,1.21197,0.000317105,1.00004,12.247,503.965,620.031,0.929982,35866.2,8.76012e-07,0.638112,109.239,85.4299,23.8273,26.1838,0.909999,516.076,634.862,0.653411 
50,25,50,21155.7,0,5,101,125,0,5,135,-5.25744,2.09368,-2.40132,-8.97408,-4.37122,-54.7732,10.2104,26493.9,24.2835,16439.4,-5.0458,2.30531,-1.97806,-8.76244,-4.15959,0.887869,13.4113,26734,27.4844,0.289083,0.00028658,0.999442,46.3926,620.525,775.735,1.08268,36202.6,8.78743e-07,0.78954,109.423,84.0601,26.336,29.1715,0.9028,630.47,788.004,0.802111 
51,45,51,19925.5,0,5,101,125,0,5,135,-5.35667,-4.71272,-10.4476,-9.41766,-2.34738,-34.8194,12.4298,25377.8,15.3932,16439.4,-5.22214,-4.57819,-10.1786,-9.28312,-2.21285,0.676613,14.4646,25530.4,17.4281,0.408855,0.000323647,0.99963,35.3783,669.067,806.455,0.640794,35219.6,8.70716e-07,0.843622,109.346,83.5579,28.0855,30.5345,0.919794,717.016,863.365,0.903618 
52,35,52,20436.9,0,5,101,125,0,5,135,-0.565022,-2.28945,-2.38278,-4.27175,-6.30707,-14.3342,15.1634,25860.7,23.6767,16439.4,-0.509638,-2.23407,-2.27202,-4.21636,-6.25169,0.853265,16.0011,25923.5,24.5143,0.352305,0.000352586,0.999487,45.4183,665.814,824.861,1.00408,36192.7,8.78663e-07,0.843421,109.183,83.7798,27.3319,30.1419,0.906773,679.054,841.307,0.860215 
53,40,53,19209.1,0,5,101,125,0,5,135,-7.16469,-2.8743,-8.54595,-3.97666,-5.6179,-20.2723,14.9327,24800.8,27.0028,16439.4,-7.08637,-2.79597,-8.3893,-3.89834,-5.53958,0.697242,16.1174,24889.7,28.1875,0.32272,0.000369894,0.999386,49.9425,678.388,838.809,0.671077,35092.1,8.69664e-07,0.8674,109.498,82.882,28.1662,31.0228,0.90792,721.146,891.2,0.921823 
55,15,55,21081.9,0,5,101,125,0,5,135,-6.78622,-6.11349,-12.1592,-6.47226,-3.19746,-45.1148,3.21276,26989.2,8.96148,16439.4,-6.61191,-5.93918,-11.8105,-6.29795,-3.02315,0.649359,5.84927,27187,11.598,0.295913,0.000122928,0.999768,19.7668,560.279,675.332,0.854432,36526.3,8.81354e-07,0.697927,109.099,84.5785,25.2085,27.423,0.919246,577.643,696.375,0.719616 
56,30,56,19629.1,0,5,101,125,0,5,135,-7.2919,-3.09862,-14.9383,-5.80372,-6.11534,-133.876,10.0824,25743.7,19.5249,16439.4,-6.77464,-2.58135,-13.9037,-5.28645,-5.59807,0.592794,17.9061,26330.5,27.3486,0.353008,0.00038845,0.999436,50.7244,598.153,761.729,0.529462,35523.4,8.73213e-07,0.773013,109.095,83.1547,27.1197,30.3193,0.89447,668.552,851.237,0.863918 
57,7.5,57,17164.6,0,5,101,125,0,5,135,-10.2101,-4.24616,-8.14304,-7.7906,-4.37506,-80.469,7.37329,23678.9,-4.48409,16439.4,-9.89918,-3.93524,-7.52121,-7.47969,-4.06414,0.771388,12.0759,24031.6,0.218513,0.978747,0.00028706,0.999995,12.3381,541.111,659.655,487.254,33833.4,8.5914e-07,0.695405,109.328,85.4541,23.9208,25.3038,0.945344,520.134,592.902,0.646376 
58,50,58,21235.8,0,5,101,125,0,5,135,-2.77452,-5.4464,-10.5686,-2.26999,-9.47452,-46.0518,16.233,26740.9,36.4532,16439.4,-2.59659,-5.26846,-10.2128,-2.09206,-9.29659,0.65341,18.9243,26942.7,39.1445,0.287176,0.000401204,0.999212,65.8977,722.11,849.101,0.901423,37483.8,8.88989e-07,0.880815,109.476,83.1687,28.5695,30.6906,0.930888,741.945,872.214,0.9049 
