cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
57,0.23,3.77,57,15793.3,-0.00225798,26.9263,12.9702,121.679,-0.014285,8.92731,2.1103e-11,-2.21248,-1.5074,-7.08583,-1.86804,1.21783,93.0116,1628.8,810.006,12928.7,11373,-2.79815,-2.09306,-8.25716,-2.45371,0.632157,0.448417,1524.26,785.408,12824.2,0.186048,0.525838,0.101381,8192.83 
58,0.73,3.27,58,14669.5,-0.0238923,25.4214,-12.6577,121.502,-0.0085796,-4.71139,500,2.28811,0.667077,-11.3194,-1.03455,2.43691,111.112,1571.91,941.505,11714.5,10476.2,1.58847,-0.0325656,-12.7187,-1.7342,1.73727,-0.139696,1447.02,912.12,11589.6,0.193617,0.475489,0.126619,7473.64 
59,0.33,3.67,59,14272.8,-0.0233925,25.1287,12.7165,121.475,-0.00959425,8.23461,1.23621e-11,0.36656,-0.459876,-8.80462,-0.343956,-3.79937,106.872,1619.1,902.787,11535.1,10404.9,-0.306387,-1.13282,-10.1505,-1.0169,-4.47231,0.405671,1498.98,874.523,11415,0.201617,0.494812,0.123673,7434.79 
60,0.07,3.93,60,13578,0.000270288,23.797,-12.5661,121.665,-0.00994715,6.94853,5.294e-11,-0.271628,2.39868,-7.71147,5.29844,0.91446,39.2096,1407.31,820.424,10897.9,9736.85,-0.518521,2.15178,-8.20525,5.05155,0.667568,-8.62071,1363.24,810.055,10853.9,0.194546,0.490226,0.120865,7007.25 
61,0.03,3.97,61,13777.3,-0.0630152,23.8924,12.8244,121.358,0.0726511,-10.8431,494.498,0.270901,2.05446,-12.5066,0.771318,3.44922,137.79,1564.89,912.455,10950.9,10000.2,-0.596726,1.18683,-14.2418,-0.0963099,2.58159,-0.275413,1410.01,876.015,10796,0.200744,0.479101,0.130036,7023.94 
62,0.21,3.79,62,13559,-0.071589,23.5907,12.8288,121.663,0.0592941,11.602,98.1,3.88879,-2.04969,-12.4971,2.30419,0.514722,87.9713,1523.9,844.248,10852.5,9874.36,3.33486,-2.60362,-13.605,1.75026,-0.0392095,-0.218789,1425.03,820.982,10753.7,0.203084,0.497957,0.123295,7016.93 
63,0.63,3.37,63,14864.3,-0.039777,25.1641,13.01,121.386,-0.00283585,-17.7884,471.331,3.0915,-2.99823,-3.67641,-3.3606,0.818324,71.3711,1679.57,888.847,11766.5,10659.1,2.6421,-3.44763,-4.57522,-3.81001,0.36892,0.481376,1599.35,869.972,11686.3,0.208352,0.512317,0.120596,7676.22 
64,0.67,3.33,64,13846.6,-0.0279112,24.0656,12.849,121.525,0.0243776,29.8024,500,-0.598238,0.231026,-7.10869,0.453569,-1.88415,120.574,1365,703.862,11490.5,10089.8,-1.35746,-0.528196,-8.62713,-0.305653,-2.64337,0.35914,1229.48,671.975,11355,0.172339,0.511125,0.098298,7134.06 
65,0.41,3.59,65,13134.2,-0.0589338,22.8462,12.7802,121.553,0.055403,-87.3056,32.1247,-4.59012,-3.40414,-4.33303,-2.26052,-1.54335,117.598,1361.32,693.361,10631.4,9662.32,-5.33061,-4.14462,-5.81399,-3.00101,-2.28383,0.717411,1229.15,662.261,10499.2,0.183764,0.514696,0.104099,6688.72 
66,0.11,3.89,66,13948.4,-0.0389465,24.3242,12.6375,121.554,0.0221089,-1.97632,0.00101313,-0.442482,-0.995239,-8.18329,-1.34804,-0.263032,80.3728,1478.3,685.257,11279.3,10008.2,-0.948568,-1.50133,-9.19546,-1.85413,-0.769118,0.355546,1387.96,664.001,11189,0.192606,0.544307,0.0985456,7206.22 
67,0.43,3.57,67,12687.4,-0.0696063,22.2151,12.7608,121.33,-0.0196552,64.0026,41.6505,2.71524,0.794653,-6.0231,-1.87901,1.46324,103.883,1473.32,803.461,10067.9,9269.26,2.06112,0.140532,-7.33135,-2.53313,0.809119,-0.0696912,1356.56,775.988,9951.14,0.207706,0.499738,0.125604,6531.15 
