cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
52,1.42,47.3201,52,18462.2,-0.248363,34.1179,12.5797,116.611,0.831861,-1924.07,9.31149,-3.17304,-2.69628,-2.04456,-1.40346,-0.889405,-66.1456,1402.63,3026.13,13618.4,66074.9,-2.75654,-2.27978,-1.21155,-0.986958,-0.472903,0.842813,1434.91,3047.12,13650.7,0.0837504,0.212034,0.291382,17133.2 
53,0.38,47.3228,53,18228.7,-0.186912,33.7971,12.5005,116.62,0.058815,76.2723,500,1.98739,0.606054,-3.2702,-2.92791,-0.999494,-12.0287,1346.3,2623.57,13836.3,13899.2,2.06314,0.681795,-3.11872,-2.85217,-0.923752,0.24845,1352.17,2627.39,13842.2,0.0782928,0.227251,0.259068,17270.6 
54,0.88,47.3228,54,18876,-0.0212202,35.0292,12.3166,116.689,-0.00279298,-24.3708,500,-1.09175,1.67935,0.714031,-2.35684,0.0902605,-90.9783,1212.37,2981.17,14261.3,14047.1,-0.518884,2.25221,1.85976,-1.78397,0.663127,0.247744,1256.77,3010.03,14305.7,0.0709705,0.192629,0.279327,17708.4 
55,0.84,47.3254,55,18128.6,0.0274037,33.738,12.2765,116.779,-0.125193,24.1869,8.29788e-07,-2.14162,2.03639,1.51891,-0.965512,0.271131,-79.8678,1175.41,2660.33,13957.6,13581.7,-1.63872,2.5393,2.52472,-0.462606,0.774037,0.32435,1214.39,2685.66,13996.6,0.0701532,0.205331,0.261154,17310.5 
56,2.59,47.3199,56,18693.7,0.107413,34.1195,12.3733,116.667,-0.789262,1692.43,4.5057e-07,4.3878,0.4959,-0.784258,-3.24767,-2.35039,-129.784,1421.57,3156.23,13571.9,57226.9,5.20502,1.31312,0.850179,-2.43045,-1.53317,0.750293,1484.91,3197.4,13635.2,0.0865058,0.209722,0.301659,17165.4 
57,0.34,47.3254,57,18563.9,-0.00601265,33.9098,12.4998,116.886,0.0792396,-52.931,500,0.913673,1.63509,-6.67473,-2.01032,-1.57347,-139.723,1328.9,2830.2,13877.6,13934.7,1.79347,2.51489,-4.91514,-1.13053,-0.693673,-1.02188,1397.09,2874.52,13945.8,0.0801322,0.217361,0.275202,17434.8 
58,1.13,47.3226,58,19268.8,-0.108009,35.365,12.4795,116.651,0.143734,-30.5573,0.207493,-0.420871,2.40913,1.10042,-2.82035,-0.306236,-93.8213,1309.08,2653.53,14682.8,14510,0.169897,2.9999,2.28196,-2.22958,0.284532,0.349258,1354.87,2683.29,14728.6,0.0740658,0.223922,0.251272,18292.8 
59,2.38,47.3228,59,19167.2,-0.210164,34.8916,12.7246,116.678,-0.507738,894.183,0.00391312,-1.41789,2.64405,-3.42296,-3.06339,-2.24533,-64.7441,1341.73,3358.43,13870,29232.6,-1.01021,3.05173,-2.6076,-2.65571,-1.83765,0.484607,1373.33,3378.97,13901.6,0.079108,0.188475,0.309272,17360.1 
60,1.84,47.3254,60,18165.2,-0.252236,33.7357,12.544,116.572,-1.81342,5825.18,388.434,-0.662553,0.00877493,-4.0177,-1.67427,-1.6001,-88.4393,1194.15,2805.82,13766.8,357653,-0.105674,0.565654,-2.90394,-1.11739,-1.04322,0.369336,1237.31,2833.87,13810,0.0722778,0.199676,0.274315,17118.8 
61,0.67,47.3253,61,17209.8,-0.0114925,32.3721,12.1875,116.664,-0.00824614,-30.1381,500,1.30116,-1.27298,1.28198,0.0237305,-1.8722,-115.252,1316.45,2756.42,12965.8,12851.5,2.02687,-0.547264,2.73341,0.749445,-1.14649,0.283693,1372.69,2792.98,13022,0.0839667,0.219266,0.283204,16348 
62,1.34,47.3254,62,19073.6,-0.277532,35.1461,12.6836,116.638,0.069824,187.86,42.5002,0.647557,-0.616435,0.657176,0.788552,-1.80485,-52.8802,1204.06,2895.88,14459.8,14938.6,0.98053,-0.283463,1.32312,1.12152,-1.47188,0.207634,1229.86,2912.65,14485.6,0.0687525,0.194383,0.270284,17888.3 
63,0.42,47.3201,63,17304.2,-0.0449398,32.4403,-12.3567,116.745,-0.274335,340.877,1.44036,4.25374,0.0287952,-1.0786,-1.86588,-2.31586,-34.6005,1321.63,2531.36,13183.7,16093.4,4.47161,0.246666,-0.642862,-1.648,-2.09799,2.95147,1338.51,2542.34,13200.6,0.0810275,0.231273,0.26187,16519.2 
64,0.09,47.3199,64,19065.4,-0.0798911,34.8075,12.5205,116.619,0.0122858,44.3773,0.000418901,0.0648475,-2.61039,-0.934132,-6.79213,-0.307947,-75.5365,1357.59,3085.18,14019.4,14204.7,0.540481,-2.13476,0.0171346,-6.31649,0.167686,1.00222,1394.45,3109.14,14056.3,0.0794143,0.204003,0.2895,17559.2 
65,2.09,47.3199,65,18388.1,-0.0432455,33.9589,12.4434,116.459,0.0291228,33.4259,500,0.856758,2.29412,-5.13296,-0.964896,-5.12697,-71.8553,1427.46,2515.97,14043.2,13787.6,1.30921,2.74657,-4.22805,-0.512442,-4.67451,0.21107,1462.53,2538.77,14078.3,0.0828506,0.247661,0.249356,17652.6 
66,1.92,47.3201,66,18084.3,-0.226147,33.2895,12.5704,116.645,0.297517,394.193,281.221,4.20388,-0.429983,-1.74733,-3.24251,-1.38049,-43.8685,1345.91,2728.06,13561.3,17440.2,4.4801,-0.153755,-1.19487,-2.96628,-1.10427,-0.272399,1367.32,2741.98,13582.7,0.08049,0.221759,0.271069,16987.4 
67,0.92,47.3201,67,16945.4,-0.222892,32.0239,12.2832,116.677,0.340509,-225.412,3.55863,-0.662792,1.89788,-1.32442,-3.09953,-1.39133,-88.6735,1335.81,2556.63,12829.2,15303.7,-0.104439,2.45623,-0.207709,-2.54118,-0.832981,0.831141,1379.08,2584.76,12872.5,0.0852209,0.233647,0.270014,16182.4 
68,2.42,47.3201,68,17459.9,-0.0503179,32.816,-12.2639,116.52,0.16871,-149.378,2.48137e-07,-0.372331,-2.19943,-4.63956,-0.854613,-1.37021,-91.2241,1257.67,2776.18,13127.4,13921.6,0.202083,-1.62502,-3.49073,-0.280199,-0.795791,0.417207,1302.19,2805.11,13171.9,0.0791611,0.209653,0.281764,16449.8 
69,1.88,47.3228,69,18774.1,-0.0413702,34.5586,12.4821,116.56,-7.40247e-05,-20.2353,499.89,1.05733,-1.64058,-3.40129,-3.16038,-0.71755,7.53146,1235.64,2861.67,14198,14042.4,1.0099,-1.688,-3.49613,-3.2078,-0.764974,0.570869,1231.96,2859.28,14194.3,0.0701757,0.197566,0.270643,17555.4 
70,1.17,47.3253,70,19082.2,-0.113495,34.7016,12.6011,116.466,0.0818447,5.91226,499.885,1.70415,0.482525,-4.17064,-2.33506,-1.66368,-117.376,1229.5,2991.68,14301.6,14250.6,2.44324,1.22161,-2.69247,-1.59597,-0.924592,-0.739118,1286.78,3028.91,14358.9,0.0722931,0.19534,0.27984,17799.5 
71,2.63,47.3226,71,17422.3,-0.0967741,32.1434,12.4139,116.747,0.0588708,39.5207,500,-0.639295,2.39086,0.981662,-1.83663,1.46737,-81.7468,1220.81,2565.78,13235.8,13065.3,-0.124557,2.9056,2.01114,-1.32189,1.98211,0.631146,1260.7,2591.71,13275.7,0.0762778,0.217506,0.264499,16527.8 
72,0.13,47.3226,72,18398.8,-0.252261,34.5748,12.387,116.519,-0.0441484,-88.6811,498.745,-0.313857,1.69274,-2.21213,-2.79025,-2.7868,-28.8455,1211.27,2679,14182.6,14069.3,-0.132224,1.87437,-1.84887,-2.60862,-2.60517,0.652501,1225.34,2688.15,14196.6,0.0698141,0.206648,0.258603,17551.5 
73,2.84,47.3254,73,18695.2,-0.0201563,34.5846,12.336,116.552,-0.00147681,-51.2295,500,-0.0873447,2.32977,-1.22019,0.587028,-0.320585,2.32935,1276.58,2936.51,14031.3,13890.8,-0.102012,2.3151,-1.24952,0.572361,-0.335252,2.04068,1275.45,2935.77,14030.2,0.0732587,0.198883,0.278215,17410.2 
74,1.67,47.3253,74,18063.3,-0.252222,34.0665,12.3571,116.744,-0.541386,-36.7327,407.359,-1.24803,0.09917,-3.10214,-3.17849,-1.40676,-89.6096,1171.19,2844.76,13839.1,14351.2,-0.683778,0.663418,-1.97365,-2.61424,-0.842517,0.637914,1214.92,2873.19,13882.8,0.0707167,0.194606,0.276014,17180.1 
