cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
43,1.99,3.01,43,17216.9,0,5,101,125,0,5,135,-11.0722,-6.54422,-21.9844,-5.67904,-11.4729,340.403,-20.1952,30238,-42.6317,16439.4,-12.3874,-7.85947,-24.6149,-6.99429,-12.7882,0.619225,-40.0884,28746,-62.5249,0.348236,-0.000797533,1.00118,-115.118,559.182,577.713,0.829263,41001.9,9.15974e-07,0.620511,111.303,86.7882,25.2129,25.393,0.992909,577.846,597.091,0.641273 
44,2.49,2.51,44,16702.9,0,5,101,125,0,5,135,-10.6551,-9.34445,-11.6099,-6.67585,-11.9329,357.454,-30.0576,29936.4,-43.2529,16439.4,-12.0362,-10.7256,-14.3722,-8.05698,-13.314,0.754342,-50.9472,28369.6,-64.1424,0.39828,-0.00102725,1.00123,-127.918,559.376,584.491,0.68233,40543.1,9.12544e-07,0.626595,111.302,86.8328,25.5094,25.8408,0.987173,591.514,618.337,0.662737 
45,4.99,0.01,45,14792.5,0,5,101,125,0,5,135,-9.44811,-10.9651,-17.4237,-10.8215,-9.34127,403,-48.701,28395,-43.5568,16439.4,-11.0052,-12.5222,-20.538,-12.3786,-10.8984,0.695022,-72.2524,26628.6,-67.1081,0.472911,-0.00155288,1.00137,-152.782,549.927,590.204,0.50278,38614.1,8.97836e-07,0.634536,111.539,86.6731,26.1457,26.8549,0.973591,621.394,667.821,0.717491 
46,1.49,3.51,46,10811.9,0,5,101,125,0,5,135,-11.0181,-13.466,-21.7666,-6.98681,-12.5463,404.405,-24.063,24858.9,-54.7112,16439.4,-12.5807,-15.0285,-24.8917,-8.54935,-14.1088,0.668813,-47.6964,23086.4,-78.3446,0.336578,-0.00118196,1.00185,-141.71,490.616,508.177,0.49707,34178.1,8.62048e-07,0.579225,111.725,87.1343,24.7128,24.9353,0.991078,555.148,575.758,0.655833 
47,2.99,2.01,47,15485.6,0,5,101,125,0,5,135,-5.73836,-10.5744,-12.8591,-5.94776,-9.52483,279.624,-19.4031,28194.4,-71.0072,16439.4,-6.81877,-11.6548,-15.0199,-7.02817,-10.6052,0.706223,-35.7444,26968.9,-87.3485,0.254295,-0.000757942,1.00176,-140.562,550.961,596.977,0.656882,38437.9,8.96468e-07,0.639741,111.188,86.6051,25.3898,26.1961,0.969221,585.983,635.458,0.680693 
48,4.49,0.51,48,16666.9,0,5,101,125,0,5,135,-5.05318,-10.0953,-8.88382,-8.95008,-7.7885,361.448,-38.7062,29636.2,-33.8982,16439.4,-6.44974,-11.4918,-11.6769,-10.3466,-9.18506,0.762423,-59.8292,28052,-55.0212,0.475384,-0.00122023,1.00107,-125.855,559.598,597.144,0.50662,40537.8,9.12505e-07,0.633494,111.367,86.4289,26.3485,26.9616,0.97726,631.07,673.137,0.714258 
49,3.49,1.51,49,16759.5,0,5,101,125,0,5,135,-9.29239,-11.8526,-18.2131,-9.06976,-9.39152,316.133,-14.0775,29695.6,-63.7312,16439.4,-10.5139,-13.0741,-20.6561,-10.2912,-10.613,0.682937,-32.5523,28310,-82.206,0.248113,-0.000657489,1.00158,-131.199,557.691,591.222,0.554982,40219.6,9.10111e-07,0.630925,111.642,86.8789,25.9826,26.5095,0.980125,613.665,650.751,0.69435 
50,3.99,1.01,50,17971.2,0,5,101,125,0,5,135,-8.41972,-7.47211,-16.1324,-10.3396,-11.0784,351.555,-19.4841,31334.4,-52.8218,16439.4,-9.77806,-8.83045,-18.8491,-11.698,-12.4367,0.69397,-40.029,29793.5,-73.3667,0.312558,-0.000768331,1.00134,-128.069,514.845,558.117,0.41087,42260.2,9.2525e-07,0.579351,111.807,86.3937,26.2082,27.0605,0.968503,624.366,678.086,0.703239 
51,0.49,4.51,51,15743,0,5,101,125,0,5,135,-9.51934,-10.1108,-16.3218,-6.91932,-17.386,333.637,-27.8015,28833.9,-47.8882,16439.4,-10.8084,-11.3999,-18.9001,-8.20843,-18.6751,0.722025,-47.2993,27371.6,-67.386,0.369057,-0.000988428,1.00134,-128.162,503.463,519.729,0.555609,38638.2,8.98023e-07,0.569619,110.83,86.624,24.6715,24.8414,0.99316,553.297,571.434,0.626144 
52,0.99,4.01,52,17685,0,5,101,125,0,5,135,-6.69373,-8.89997,-14.4911,-10.3961,-9.15247,323.809,-16.5246,30693.2,-51.2061,16439.4,-7.94486,-10.1511,-16.9934,-11.6472,-10.4036,0.702602,-35.448,29273.9,-70.1295,0.296379,-0.000692426,1.0013,-119.603,534.091,559.937,0.605979,40927.3,9.15418e-07,0.597389,111.13,86.9118,25.1779,25.5476,0.98553,576.243,604.384,0.644673 
53,0.01,4.99,53,16224,0,5,101,125,0,5,135,-8.50428,-8.95019,-19.4639,-9.00621,-12.6836,323.558,-30.6756,29145.4,-37.2715,16439.4,-9.75444,-10.2004,-21.9643,-10.2564,-13.9337,0.667758,-49.5843,27727.2,-56.1802,0.423795,-0.00102292,1.0011,-117,497.862,517.839,0.519586,39072.7,9.01377e-07,0.563308,111.078,87.4021,24.7387,24.9978,0.989635,556.312,578.648,0.629448 
54,0.01,4.99,54,16768.4,0,5,101,125,0,5,135,-5.47465,-9.54667,-12.7203,-5.7508,-11.5359,327.261,-22.3976,30403,-59.7654,16439.4,-6.73912,-10.8111,-15.2493,-7.01527,-12.8004,0.710173,-41.5228,28968.6,-78.8905,0.304885,-0.000819741,1.00148,-136.191,493.952,510.306,0.462123,40729.3,9.1394e-07,0.549339,111.191,86.5588,25.0788,25.269,0.992471,571.712,591.273,0.636158 
55,0.01,4.99,55,15200.6,0,5,101,125,0,5,135,-4.96435,-10.0423,-20.1729,-8.52632,-14.389,395.674,-27.9061,28257,-55.135,16439.4,-6.49315,-11.5711,-23.2305,-10.0551,-15.9178,0.654656,-51.0293,26522.8,-78.2582,0.352074,-0.00110063,1.0016,-144.939,536.165,548.927,0.839868,38214,8.94724e-07,0.606341,110.993,86.3909,24.6705,24.7329,0.997478,553.252,566.452,0.625682 
