cyc,field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
41,201.4,2.922,44.7073,2.023,41,19213.7,-0.0268584,39.3953,-12.4061,121.945,0.0107106,-4.56989,500,-7.29229,-6.43879,-5.96729,-4.89495,-3.24501,155.52,9111.72,24.9362,12380.9,15911.7,-8.27156,-7.41806,-7.92583,-5.87422,-4.22428,0.76491,8893.59,16.8573,12162.8,0.459532,0.996694,0.00254661,19353.6,-0.00265797,0.778673,12.643,11.4154,122.146,92.9807,0.974808,12.8097,12.8121,120.9,144.303,1.24638,-51.3227 
42,202.3,3.42,44.848,2.02,42,19571.2,0.0340381,44.7651,11.0221,121.635,-0.00478018,-51.5177,3.77362,-7.48446,-7.42112,-13.3534,-10.6724,-7.94723,75.7698,9602.13,25.8727,12487.4,16070,-7.96156,-7.89822,-14.3076,-11.1495,-8.42433,0.712359,9495.86,21.9366,12381.2,0.471407,0.995974,0.00325318,20143.7,-0.00283418,1.01342,11.2254,10.3037,121.696,93.0928,1.26372,11.3591,11.2841,120.852,143.821,0.843985,-50.7286 
43,202.5,3.53,44.8792,2.019,43,22422.8,-0.04341,50.0199,11.1335,121.782,-0.0153847,-22.143,500,-6.14718,-6.38306,-13.7602,-0.0218637,-5.63715,128.803,10609.1,43.3986,14184.7,18139.8,-6.95822,-7.1941,-15.3822,-0.832902,-6.44819,0.582182,10428.5,36.7075,14004.1,0.464066,0.993878,0.00480533,22472,-0.00277014,1.11636,11.4683,10.1932,121.762,93.2475,1.41354,11.3741,11.3667,121.106,144.282,0.65588,-51.0345 
44,201.9,3.199,44.7855,2.021,44,19672.5,-0.750857,42.1512,12.1576,121.56,0.503862,795.576,246.511,-3.63584,-9.02827,-18.444,0.152117,-4.20339,154.456,9565.51,37.4685,12449.4,29731.6,-4.6084,-10.0008,-20.3891,-0.820449,-5.17596,0.502641,9348.87,29.4449,12232.7,0.470525,0.994518,0.00441448,19869,-0.00245942,0.87422,12.1375,10.9906,121.683,92.8704,1.06462,12.081,12.3323,120.685,143.941,0.997726,-51.0705 
45,202,3.254,44.8011,2.021,45,17215.4,-0.03257,38.6032,11.6048,121.645,0.00637507,-1.97055,477.15,-3.3208,-9.02862,-6.83259,-8.9333,-0.369928,107.545,8501.2,36.3996,11362.9,14583.7,-3.99799,-9.7058,-8.18696,-9.61048,-1.04711,0.748468,8350.36,30.8128,11212,0.464097,0.993584,0.00503696,17992.7,-0.00282339,0.835618,11.6607,10.5479,121.563,92.8407,1.04815,12.0666,11.6541,120.603,143.845,0.959851,-51.0039 
46,201.2,2.812,44.676,2.023,46,21120.5,0.00981007,44.1433,-12.0349,121.645,-0.101674,120.304,500,-5.57238,-6.70839,-6.74742,-6.7621,-5.05213,82.9927,10035.9,31.8656,13480.4,17692.4,-6.09496,-7.23097,-7.79259,-7.28468,-5.57472,0.770657,9919.54,27.5543,13364,0.463258,0.995162,0.00378374,21412.6,-0.00273828,0.899693,12.2649,11.1808,122.079,92.8765,1.15493,12.3362,12.1759,120.503,144.001,1.57571,-51.1245 
47,201.1,2.756,44.6603,2.024,47,21878.6,0.127148,45.3418,-12.0308,121.804,-0.156901,45.1166,1.50837e-12,-2.54924,-6.7667,-10.1507,-2.081,-5.60578,70.6103,10344.4,30.1654,13974.1,17988.2,-2.99385,-7.21132,-11.0399,-2.52562,-6.0504,0.629796,10245.3,26.4974,13875.1,0.461962,0.995494,0.00350556,22177.9,-0.00286875,0.918488,12.4583,11.1798,122.124,92.6986,1.19212,12.3166,12.2608,120.764,143.599,1.35991,-50.9005 
48,202.7,3.641,44.9104,2.019,48,20449.2,-0.0658989,47.7069,10.8824,121.868,-0.0328713,-70.2199,21.6415,-10.3672,-6.37426,-18.0389,-10.2162,-6.46079,82.3828,10015.1,32.5588,13121.9,16975.7,-10.886,-6.893,-19.0764,-10.735,-6.97953,0.650422,9899.55,28.2792,13006.3,0.469507,0.995026,0.00398925,21085,-0.00302209,1.10616,11.1097,10.021,121.741,92.8407,1.36975,11.1385,11.1041,121.205,143.619,0.535852,-50.7784 
49,202.9,3.752,44.9416,2.018,49,22472,-0.0104639,51.274,10.9056,121.71,-0.01677,-11.0737,500,-7.63199,-5.79495,-12.1951,-2.3617,-6.65951,128.876,10740.7,22.6324,14256.3,18208.9,-8.44349,-6.60645,-13.8181,-3.1732,-7.47101,0.650284,10559.9,15.9375,14075.6,0.465914,0.997366,0.00208143,22664.9,-0.00280995,1.19624,10.9529,9.95279,121.575,92.6373,1.49062,11.2048,11.0167,121.029,143.351,0.545949,-50.7137 
50,202.6,3.586,44.8948,2.019,50,17917.9,-0.173417,42.5248,11.0413,121.731,0.0399074,-192.828,464.674,-9.26618,-7.70578,-2.04191,-5.14399,-4.28129,35.7564,8803.93,10.3935,11733.8,15535.2,-9.49133,-7.93093,-2.4922,-5.36914,-4.50644,0.916341,8753.78,8.53603,11683.6,0.465585,0.998296,0.00134403,18801.7,-0.00304831,0.991478,11.0016,9.93138,121.757,93.3976,1.2403,11.1566,11.0985,121.098,144.242,0.659435,-50.8448 
