cyc,field,wiggle time,wait time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
41,200,0.45,0.13,40,41,19046.9,-0.143469,42.2983,11.5069,120.971,-0.0261985,45.7218,499.781,-7.44762,-0.112575,-12.6487,-2.02022,-8.75666,225.506,12376,35.9566,9327.08,15883.5,-8.86757,-1.53253,-15.4886,-3.44017,-10.1766,0.607937,12059.7,24.242,9010.79,0.608799,0.996495,0.00493144,19808.9,-0.00286845,1.25229,11.6279,10.3935,120.992,92.1049,0.88271,11.7307,11.7724,120.02,142.894,0.972096,-50.7892 
42,200,0.45,0.13,40,42,20581.5,-0.3107,45.4445,11.7557,121.238,-0.441454,1293.56,500,-6.02781,-5.19557,-11.3622,-3.51493,-6.15936,275.175,13167.7,44.6883,10504.9,35980.5,-7.76051,-6.92827,-14.8276,-5.24763,-7.89206,0.652391,12781.8,30.3935,10119,0.594941,0.995856,0.00550254,21484.1,-0.00322134,1.28946,11.7731,10.6428,121.234,92.1786,0.929889,11.9097,12.2247,120.253,142.893,0.980511,-50.7142 
43,200,0.45,0.13,40,43,19228.7,-0.0485436,42.4407,11.5463,121.253,-0.0795175,116.951,500,-3.04804,1.00683,-12.4236,-5.24101,-1.62554,222.164,12454,45.2382,9466.89,16254.9,-4.44695,-0.392078,-15.2214,-6.63992,-3.02445,0.487922,12142.4,33.6972,9155.28,0.606637,0.995167,0.00673445,20015.9,-0.00285392,1.22578,11.7685,10.587,121.205,92.1733,0.868496,11.7505,12.0083,120.211,143.106,0.994828,-50.9331 
44,200,0.45,0.13,40,44,23109,-0.76057,49.6086,12.0672,120.977,2.60065,-3640.43,0.0288999,-4.97856,-3.02007,-5.01962,-6.94448,-3.55868,256.857,14537.9,47.2827,11362.8,327685,-6.59592,-4.63743,-8.25435,-8.56184,-5.17605,0.751566,14177.7,33.9395,11002.6,0.599736,0.995828,0.00565021,23639.9,-0.00307209,1.39943,11.9647,10.6402,120.869,91.6062,1.0063,12.1073,12.1225,120.008,142.468,0.861031,-50.8615 
45,200,0.45,0.13,40,45,21711.2,-0.035239,46.3648,11.7894,121.118,-0.147778,53.8857,499.861,-10.4628,-6.92218,-13.3507,-5.7656,-6.12052,248.37,13695.4,49.7925,10844.1,18053.3,-12.0267,-8.4861,-16.4786,-7.32952,-7.68444,0.683137,13347,36.8901,10495.7,0.596558,0.995186,0.00643293,22373.3,-0.00292729,1.31738,11.9577,10.6131,121.037,91.3288,0.960484,11.9923,12.1134,120.079,142.093,0.957924,-50.7637 
46,200,0.45,0.13,40,46,23234,0.00194623,49.3187,11.6621,121.166,-0.00927852,-10.1542,4.89616e-11,-7.21488,-0.470898,-15.1267,-8.30382,-6.69877,219.161,14563.9,42.4523,11251.9,18726.4,-8.59488,-1.8509,-17.8867,-9.68382,-8.07877,0.611961,14256.5,31.0673,10944.5,0.602334,0.996201,0.00520184,23668.8,-0.00260857,1.4258,11.8089,10.5495,121.044,90.6825,0.990698,11.8488,12.2098,120.213,141.122,0.83026,-50.4394 
47,200,0.45,0.13,40,47,23966,-0.751287,51.7819,11.7368,121.071,-3.63779,2336.76,480.684,-7.81017,-5.53312,-8.70954,-6.26382,-4.5963,221.75,14516.8,48.4867,12142.2,296509,-9.20647,-6.92943,-11.5021,-7.66013,-5.9926,0.721435,14205.8,36.9672,11831.2,0.582668,0.995467,0.00572284,24380.6,-0.00288768,1.35829,11.991,10.9275,120.847,92.3313,1.0654,11.9422,12.2466,120.004,143.467,0.842828,-51.1354 
48,202.015,0.2,0.38,43.1994,48,15967.5,-0.181741,35.2677,11.9454,121.562,0.491264,164.519,3.2579e-12,-4.70014,-6.1274,-11.9345,-6.54666,-7.27285,137.405,10500.3,31.0963,8300.89,16345.3,-5.56534,-6.9926,-13.6649,-7.41187,-8.13805,0.672876,10307.6,23.9584,8108.17,0.596483,0.995949,0.00541366,17280.6,-0.00291977,0.973768,12.198,10.8525,121.368,91.7826,0.713926,12.1475,12.3742,120.645,143.011,0.723434,-51.2281 
49,202.033,0.05,0.53,43.2034,49,16612.2,0.178143,36.0797,11.8879,121.17,-0.190534,8.60654,2.54463e-13,-5.27076,-9.91296,-11.4289,-4.55196,-3.46288,215.937,10689,43.4372,8823.46,14015.9,-6.63046,-11.2727,-14.1482,-5.91165,-4.82257,0.669322,10386.1,32.2197,8520.59,0.586328,0.9946,0.00691754,17713.8,-0.00299485,0.966108,12.2308,11.0977,121.022,91.7395,0.744306,12.1974,12.5602,120.293,142.896,0.728799,-51.1569 
50,202.005,0.21,0.37,43.1974,50,17942.2,-0.0217717,38.1132,11.9627,120.934,-0.00760386,8.57951,500,-6.52556,-6.283,-10.4395,-3.96469,-2.50627,122.958,11203.8,32.3077,9127.5,14844.3,-7.29979,-7.05723,-11.988,-4.73893,-3.28051,0.651152,11031.3,25.9203,8955.04,0.588882,0.995905,0.00530368,18732.6,-0.00264801,1.03863,12.1496,10.885,120.818,91.6798,0.791469,12.286,12.2674,120.04,142.656,0.77822,-50.9763 
