cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
45,45,45,19832.4,0,5,101,125,0,5,135,-7.15654,-0.0947982,-8.04433,-4.87592,-5.88711,-71.9802,-4.31821,26047.8,9.95516,16439.4,-6.87843,0.183319,-7.4881,-4.5978,-5.609,0.692985,-0.111683,26363.3,14.1617,-0.00661539,-2.42076e-06,0.999708,16.8823,432.585,498.122,0.653004,34674.4,8.662e-07,0.535902,109.575,86.1345,22.5058,23.9288,0.940533,460.421,530.218,0.570409 
46,46,46,17965.6,0,5,101,125,0,5,135,-5.31242,-4.98854,-8.79964,-3.49347,-3.20237,-66.8787,4.96958,24224.5,7.41351,16439.4,-5.05401,-4.73014,-8.28283,-3.23507,-2.94396,0.658384,8.87797,24517.6,11.3219,0.395204,0.000206875,0.999749,22.4642,421.414,494.34,0.596481,32065.7,8.43908e-07,0.540844,109.476,86.193,22.4018,24.0392,0.931887,456.175,535.121,0.585458 
47,47,47,17768.6,0,5,101,125,0,5,135,-7.94625,-1.96227,-8.25902,-5.62381,-6.9576,-39.3739,6.03269,23911.3,6.86351,16439.4,-7.79411,-1.81013,-7.95475,-5.47168,-6.80546,0.733385,8.3337,24083.8,9.16453,0.431103,0.000197692,0.999793,19.3311,399.564,483.292,0.525246,31329.2,8.37397e-07,0.524767,109.835,85.3356,22.1391,24.1199,0.917879,445.539,538.718,0.585049 
48,48,48,18979.4,0,5,101,125,0,5,135,-3.76107,-4.98852,-9.13807,-3.93708,-6.30141,-89.4553,8.90975,24824.4,9.46439,16439.4,-3.41543,-4.64288,-8.4468,-3.59144,-5.95577,0.675776,14.1375,25216.5,14.6922,0.445022,0.000320266,0.999684,31.7681,430.184,502.556,0.571949,32957.8,8.51663e-07,0.545948,109.554,85.5998,22.7367,24.3488,0.933793,469.917,548.993,0.596384 
49,49,49,18976.9,0,5,101,125,0,5,135,-4.38851,-4.71418,-3.88678,-7.2255,-1.74414,-51.8747,4.65901,25188.3,-9.50946,16439.4,-4.18808,-4.51374,-3.48591,-7.02507,-1.5437,0.832057,7.69056,25415.7,-6.4779,-92.7478,0.000172879,1.00014,-0.0829191,425.925,491.556,0.710128,33062.7,8.52566e-07,0.536692,109.773,86.0484,22.189,23.6167,0.939547,447.549,516.476,0.563919 
50,50,50,18564,0,5,101,125,0,5,135,-1.53123,-6.44621,-3.22075,-7.85379,-8.0061,-15.0738,4.72128,24406.1,1.45259,16439.4,-1.47299,-6.38797,-3.10426,-7.79555,-7.94786,0.883773,5.60219,24472.2,2.3335,0.666738,0.000130795,0.999948,8.40239,393.218,467.075,0.491769,31993.6,8.43276e-07,0.508206,109.193,85.4179,22.1709,23.9316,0.926426,446.818,530.342,0.577263 
51,51,51,18486.2,0,5,101,125,0,5,135,-3.70774,-0.647432,-6.34484,-1.57368,-3.66828,-26.0164,7.07414,24889.9,-1.98204,16439.4,-3.60721,-0.54691,-6.1438,-1.47315,-3.56775,0.599461,8.59454,25003.9,-0.461644,1.0689,0.000196378,1.00001,8.04057,429.475,499.118,0.65155,33237.2,8.54063e-07,0.542101,109.473,86.107,22.4282,23.9563,0.936215,457.252,531.436,0.577182 
52,52,52,18973.1,0,5,101,125,0,5,135,-6.35775,-2.9183,-5.81517,-4.71016,-6.51647,-74.2123,7.50458,24827.2,-5.49673,16439.4,-6.071,-2.63156,-5.24169,-4.42342,-6.22973,0.786901,11.8416,25152.5,-1.15976,1.13318,0.000268951,1.00003,10.4498,396.791,462.818,0.472369,32511.7,8.47804e-07,0.505465,109.507,85.9138,22.4089,23.9704,0.934858,456.465,532.063,0.581287 
53,53,53,18440.5,0,5,101,125,0,5,135,-4.00536,-3.89065,-6.30568,-5.75024,-3.96691,-18.2889,8.09582,24847.9,-16.2305,16439.4,-3.93469,-3.81999,-6.16435,-5.67958,-3.89624,0.73763,9.16462,24928,-15.1617,-1.01498,0.000210038,1.00033,-9.0294,402.503,472.189,0.49834,32737,8.49757e-07,0.513036,109.138,85.8927,22.3811,24.0251,0.931571,455.332,534.495,0.580553 
54,54,54,20483.8,0,5,101,125,0,5,135,-8.45744,-2.98379,-1.29547,-8.54375,-4.32599,-11.8816,1.58855,26656,1.41797,16439.4,-8.41154,-2.93788,-1.20365,-8.49784,-4.28009,0.952483,2.28291,26708.1,2.11233,0.473858,4.88412e-05,0.999957,4.81771,406.983,481.341,0.473923,35342.6,8.71729e-07,0.50773,109.565,85.4665,22.6886,24.4464,0.928096,467.931,553.404,0.583755 
