cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
12,20,1.8,0.01,10,12,6.79505e-07,7.71997e-07,1.06586e-29,16.0858,0.880192,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.48249,-1.39082e-29,-3.38606e-13,41070.3,62452.8,2.55061,41.0287,2.24642,36.1355,-0.194587,0.0066,1.2559,6.683e-06 
13,20,1.8,0.01,10,13,6.71835e-07,7.57913e-07,1.04641e-29,15.7924,0.886428,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.50246,-1.39364e-29,-3.79113e-13,38863.3,59424.4,2.57,40.5863,2.26405,35.7547,-0.213898,0.0066,1.20974,6.683e-06 
14,20,1.8,0.01,10,14,6.95529e-07,7.21066e-07,9.9554e-30,15.0246,0.964585,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.74234,-1.67314e-29,-4.24289e-13,33466.2,51021.8,2.81353,42.2721,2.49096,37.4256,-0.445977,0.0066,1.19962,6.683e-06 
15,20,1.8,10,0.01,15,7.39405e-07,7.45865e-07,1.02978e-29,15.5413,0.991338,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.82046,-1.85843e-29,-9.49033e-13,37039.3,55199.9,2.89678,45.0198,2.57111,39.9584,-0.521753,0.0066,1.18171,6.683e-06 
16,20,1.8,10,0.01,16,7.5583e-07,7.18341e-07,9.91778e-30,14.9678,1.05219,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.99132,-2.07802e-29,-4.25865e-13,33088.2,52267.2,3.08575,46.1869,2.75799,41.281,-0.6879,0.0066,1.11475,6.683e-06 
17,20,1.8,0.01,10,17,6.75594e-07,7.68755e-07,1.06138e-29,16.0183,0.878816,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.47807,-1.37868e-29,-2.9091e-13,40555.1,63429.9,2.54635,40.7881,2.24254,35.9216,-0.190299,0.0066,1.14976,6.683e-06 
18,20,1.8,10,0.01,18,8.0061e-07,7.55074e-07,1.04249e-29,15.7332,1.06031,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.01344,-2.22558e-29,-9.25766e-13,38428.2,60372.6,3.11092,48.9447,2.7834,43.7918,-0.709449,0.0066,1.1089,6.683e-06 
19,20,1.8,0.01,10,19,6.79174e-07,7.53043e-07,1.03969e-29,15.6909,0.901906,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.55147,-1.45482e-29,-2.64578e-13,38118.9,58797.2,2.61814,41.0809,2.30812,36.2164,-0.2613,0.0066,1.24102,6.683e-06 
20,30,1.8,0.01,10,20,7.12146e-07,7.62502e-07,1.05275e-29,15.888,0.933959,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.65051,-1.62282e-29,-4.63405e-13,39573.5,60936.5,2.7181,43.1851,2.40075,38.1431,-0.357046,0.0066,1.2056,6.683e-06 
21,30,1.8,10,0.01,21,7.53358e-07,7.53895e-07,1.04087e-29,15.7086,0.999287,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.84331,-1.91727e-29,2.99268e-13,38248.5,62544.4,2.9215,45.8928,2.59516,40.7664,-0.543937,0.0066,1.15648,6.683e-06 
22,30,1.8,10,0.01,22,7.92021e-07,7.46709e-07,1.03094e-29,15.5589,1.06068,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.01446,-2.20282e-29,-5.57403e-13,37165.2,57735.1,3.11208,48.4206,2.78458,43.325,-0.710442,0.0066,1.17562,6.683e-06 
24,30,1.8,10,0.01,24,7.77822e-07,7.59271e-07,1.04829e-29,15.8207,1.02443,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.91452,-2.056e-29,-6.30084e-13,39072.6,60390,2.99963,47.4561,2.67196,42.2722,-0.61315,0.0066,1.16218,6.683e-06 
25,30,1.8,0.01,10,25,6.86631e-07,7.49509e-07,1.03481e-29,15.6172,0.916109,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.59574,-1.51276e-29,1.07807e-14,37584.7,58749,2.66243,41.5798,2.34894,36.6839,-0.304082,0.0066,1.21697,6.683e-06 
26,30,1.8,0.01,10,26,6.88319e-07,7.48688e-07,1.03368e-29,15.6002,0.919366,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.60581,-1.52604e-29,-2.53508e-13,37461.5,58575.9,2.67259,41.6929,2.35835,36.7906,-0.31381,0.0066,1.15884,6.683e-06 
