cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
61,60,1.05,10,0.01,61,1.0104e-06,8.46324e-07,1.16848e-29,17.6346,1.19387,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.35681,-3.28777e-29,-1.07298e-12,29454.8,44540.6,3.52354,62.1361,3.21706,56.7315,-1.04509,0.0066,1.14498,6.683e-06 
62,60,1.05,10,0.01,62,1.07983e-06,8.29449e-07,1.14518e-29,17.2829,1.30187,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.60949,-3.89041e-29,-1.5016e-12,27727.7,41499.6,3.8554,66.6325,3.58862,62.0219,-1.2933,0.0066,1.1356,6.683e-06 
63,60,1.05,10,0.01,63,1.04736e-06,8.59029e-07,1.18602e-29,17.8993,1.21924,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.41802,-3.49656e-29,-2.10319e-12,30801.2,44601.2,3.60163,64.4666,3.3027,59.116,-1.10513,0.0066,1.16639,6.683e-06 
64,60,1.05,10,0.01,64,1.02155e-06,8.14233e-07,1.12417e-29,16.9659,1.25461,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.50143,-3.52802e-29,-1.04562e-12,26229.6,39932.5,3.71038,62.9499,3.42381,58.0879,-1.18703,0.0066,1.10979,6.683e-06 
65,60,1.05,0.01,10,65,1.02361e-06,8.49753e-07,1.17321e-29,17.706,1.2046,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.38284,-3.36755e-29,-1.17203e-12,29814.2,44775.5,3.55658,62.9727,3.25315,57.6003,-1.07062,0.0066,1.15395,6.683e-06 
66,60,1.05,0.01,10,66,1.0295e-06,8.16754e-07,1.12765e-29,17.0184,1.26048,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.51506,-3.57487e-29,-9.39121e-13,26474,40086.6,3.72841,63.4516,3.44409,58.613,-1.20043,0.0066,1.14231,6.683e-06 
67,60,1.05,10,0.01,67,1.02482e-06,8.28001e-07,1.14318e-29,17.2528,1.23771,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.46185,-3.48333e-29,-7.53726e-13,27582.7,42369,3.65843,63.1181,3.36569,58.0674,-1.14816,0.0066,1.11899,6.683e-06 
68,60,1.05,10,0.01,68,1.05808e-06,8.55974e-07,1.1818e-29,17.8356,1.23611,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.45809,-3.59088e-29,-1.65237e-12,30473.8,45615.3,3.65353,65.163,3.36023,59.9318,-1.14446,0.0066,1.1316,6.683e-06 
69,60,1.05,0.01,10,69,1.03911e-06,8.39905e-07,1.15962e-29,17.5008,1.23718,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.4606,-3.53011e-29,-1.16132e-12,28789.6,43750.7,3.65681,63.9971,3.36388,58.8706,-1.14693,0.0066,1.13066,6.683e-06 
70,60,1.05,0.01,10,70,9.88387e-07,8.40936e-07,1.16104e-29,17.5223,1.17534,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.31135,-3.15411e-29,-1.24161e-12,28895.7,43425.4,3.46646,60.7403,3.15517,55.2859,-1.00054,0.0066,1.12926,6.683e-06 
71,60,1.05,10,0.01,71,1.06717e-06,8.49543e-07,1.17292e-29,17.7016,1.25617,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.50504,-3.6909e-29,-1.40672e-12,29792.1,45419.7,3.71515,65.7642,3.42917,60.7019,-1.19059,0.0066,1.0936,6.683e-06 
72,60,1.05,0.01,10,72,1.07038e-06,8.61957e-07,1.19006e-29,17.9603,1.24181,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.47149,-3.65242e-29,-1.32532e-12,31117.3,46776.2,3.67103,65.9327,3.37973,60.701,-1.15762,0.0066,1.14901,6.683e-06 
73,60,1.05,0.01,10,73,1.05501e-06,8.31884e-07,1.14854e-29,17.3337,1.26821,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.53291,-3.68942e-29,-1.21832e-12,27972.6,42541.6,3.75214,65.0384,3.47089,60.1632,-1.21798,0.0066,1.13785,6.683e-06 
74,60,1.05,0.01,10,74,1.06093e-06,8.31257e-07,1.14768e-29,17.3206,1.27629,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.55147,-3.73732e-29,-9.78252e-13,27909.4,42806.3,3.77695,65.419,3.499,60.6047,-1.23622,0.0066,1.13367,6.683e-06 
75,60,1.05,10,0.01,75,1.04384e-06,8.29608e-07,1.1454e-29,17.2863,1.25823,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.50983,-3.61711e-29,-9.6464e-13,27743.7,42313.2,3.72149,64.3306,3.4363,59.4008,-1.19529,0.0066,1.14405,6.683e-06 
76,60,1.05,10,0.01,76,1.02457e-06,8.32234e-07,1.14902e-29,17.341,1.2311,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.44624,-3.46037e-29,-1.12484e-12,28008,42068.2,3.63812,63.0885,3.3431,57.9725,-1.13283,0.0066,1.15819,6.683e-06 
77,60,1.05,0.01,10,77,1.06522e-06,8.40235e-07,1.16007e-29,17.5077,1.26776,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.53188,-3.72362e-29,-1.10668e-12,28823.6,43840.2,3.75076,65.6671,3.46932,60.7398,-1.21696,0.0066,1.14028,6.683e-06 
78,60,1.05,10,0.01,78,1.11552e-06,8.2862e-07,1.14403e-29,17.2657,1.34623,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.70767,-4.17018e-29,-2.21316e-12,27644.6,39956.5,3.99133,68.9128,3.74651,64.6859,-1.38998,0.0066,1.13374,6.683e-06 
79,60,1.05,0.01,10,79,9.95445e-07,8.24284e-07,1.13805e-29,17.1753,1.20765,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.3902,-3.285e-29,-1.84887e-12,27213,39476.8,3.56596,61.2466,3.26345,56.0508,-1.07784,0.0066,1.13863,6.683e-06 
80,40,1.5,0.01,10,80,9.92119e-07,8.28926e-07,1.14446e-29,17.272,1.19687,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.36412,-3.23831e-29,-6.71697e-13,27675.3,42648.1,3.5328,61.0185,3.22715,55.7395,-1.05226,0.0066,1.12832,6.683e-06 
