cyc,freq,time,wait time,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
84,4,100,0.01,84,4.53772e-07,5.77063e-07,7.96722e-30,0.786347,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.16588,-7.30424e-30,-7.49096e-14,23972.6,36765,2.25821,27.1528,1.98976,23.925,0.110462,0.0066,1.26928 
85,4,100,0.01,85,4.53046e-07,5.90426e-07,8.15172e-30,0.767321,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.09778,-6.86657e-30,-1.58038e-13,25676.9,38370,2.1986,27.0483,1.93975,23.8638,0.175689,0.0066,1.2944 
86,4,0.01,100,86,3.96622e-07,5.99532e-07,8.27744e-30,0.661552,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.690853,-3.78309e-30,2.247e-13,26883.4,41042.1,1.86608,23.3115,1.67472,20.921,0.562816,0.0066,1.33401 
87,4,100,0.01,87,4.54792e-07,6.06117e-07,8.36836e-30,0.750337,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.0358,-6.50389e-30,-5.42662e-14,27779,42336,2.14523,27.0931,1.8957,23.9416,0.234875,0.0066,1.2715 
88,4,100,0.01,88,4.6113e-07,5.88612e-07,8.12667e-30,0.78342,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.15547,-7.35642e-30,4.86476e-14,25441,39589.3,2.24907,27.5842,1.98202,24.3089,0.120458,0.0066,1.2688 
89,4,100,0.01,89,4.48139e-07,5.64371e-07,7.79199e-30,0.794051,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.19306,-7.38176e-30,-3.78004e-14,22425.4,34615.3,2.28232,26.8392,2.01021,23.6392,0.0843931,0.0066,1.27156 
90,4,100,0.01,90,4.4541e-07,5.96915e-07,8.2413e-30,0.746186,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.02042,-6.27512e-30,1.61616e-13,26532.8,41415.5,2.1323,26.5209,1.88502,23.4453,0.249626,0.0066,1.29004 
91,4,0.01,100,91,4.04134e-07,5.81083e-07,8.02272e-30,0.695485,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.827031,-4.61457e-30,1.47584e-13,24477.1,37907,1.97289,23.8874,1.75731,21.2771,0.433731,0.0066,1.29209 
92,4,100,0.01,92,4.67637e-07,5.69838e-07,7.86747e-30,0.820648,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.28521,-8.29785e-30,1.08452e-13,23083.5,36267.3,2.36537,28.0852,2.08166,24.7166,-0.00417773,0.0066,1.25442 
93,4,0.01,100,93,3.98898e-07,5.46256e-07,7.54189e-30,0.730239,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.960825,-5.29163e-30,-7.3688e-16,20334.6,30812.7,2.0822,23.6999,1.8443,20.9921,0.30646,0.0066,1.30281 
