cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
65,1.8,65,10326.9,-0.13138,24.6663,11.0496,92.8856,-0.0509533,-567.24,499.999,-5.11983,-1.76267,-4.28214,-3.54811,1.58181,-343.903,725.167,50.1262,12091.7,9813.32,-2.95436,0.402799,0.0487945,-1.38265,3.74728,1.35324,1207.52,85.8564,12574,0.104836,0.889342,0.0124218,11518.2 
66,9,66,10267,-0.0695991,25.1161,10.9569,93.0579,-0.0405465,-140.249,5.85939e-10,3.38064,0.178468,-5.50547,-1.22345,0.79316,-401.655,1072.04,64.1599,11769.6,9143.59,5.90976,2.70758,-0.447238,1.30567,3.32227,1.03495,1635.4,105.89,12332.9,0.139202,0.898222,0.01557,11748.4 
67,2.1,67,10108.5,-0.653258,25.8145,11.3755,93.0244,-0.245951,23.5881,403.909,1.7034,2.22205,0.860944,2.38554,-0.179731,-442.2,1631.96,50.5363,11390.3,9748.22,4.48782,5.00646,6.42977,5.16996,2.60468,0.728687,2252.19,96.4792,12010.5,0.186118,0.930262,0.0145816,12100.8 
68,3,68,4629.09,-0.0200082,19.0733,10.069,93.7073,-0.0364207,21.8697,499.997,0.43592,4.91713,4.78822,1.09632,2.46515,-668.769,4456.37,14.0448,4541.54,6277.75,4.64698,9.12819,13.2103,5.30738,6.67621,0.661005,5394.39,83.5273,5479.55,0.54557,0.973618,0.0273131,9887.62 
69,10,69,12406.6,-0.367873,27.414,11.3522,92.8918,-0.340229,69.9831,3.60101,3.05653,0.441014,-1.22832,-3.32174,0.293678,-321.34,181.967,105.372,14032.8,10906,5.07992,2.46441,2.81847,-1.29834,2.31707,0.752364,632.678,138.758,14483.5,0.0505771,0.722644,0.017342,12509.2 
70,5,70,2133.19,-0.0125791,19.8527,9.99929,93.9453,-0.0120797,-6.77941,477.693,3.47547,6.65927,6.68013,0.0295435,3.26438,-1150.22,9216.38,-17.9344,137.083,6464.93,10.7181,13.9019,21.1653,7.27214,10.507,0.667025,10829.7,101.569,1750.37,0.882975,0.983852,0.096569,12265 
71,0,71,11431.4,-0.0178557,24.7465,11.2543,92.7885,0.00303458,-21.8391,500,-0.0649761,3.18558,-0.693051,1.78013,2.96934,-336.182,136.18,80.334,12756.7,9068.4,2.05187,5.30243,3.54064,3.89697,5.08618,0.821882,607.707,115.262,13228.2,0.0530525,0.750798,0.0157974,11454.8 
72,2,72,9635.59,-0.318612,24.4173,10.928,93.102,0.284388,-412.401,500,-0.632361,2.02526,4.56736,0.0989302,4.4368,-365.274,1350.47,39.7774,10871.9,12504.2,1.66767,4.32529,9.16743,2.39896,6.73683,0.62268,1862.81,77.728,11384.3,0.166353,0.931948,0.0124211,11197.9 
73,4,73,2335.41,-0.167012,17.3526,10.2122,94.0305,0.623537,-597.871,1.10836e-05,7.10245,2.95241,12.9152,6.20756,3.04291,-974.427,7287.06,3.73917,1021.93,17904.4,13.2382,9.08811,25.1866,12.3433,9.17862,0.63516,8653.79,104.978,2388.65,0.815435,0.979212,0.0748949,10612.5 
74,1.4,74,11163.3,-0.337285,24.9367,11.2578,92.8036,-0.326518,-929.514,36.4883,-0.340048,3.33476,-0.499799,4.20741,3.98354,-242.977,117.218,56.8776,12738.1,19018.8,1.18991,4.86472,2.56012,5.73737,5.5135,0.871128,458.017,82.1219,13078.9,0.0409576,0.761167,0.0114343,11182.7 
75,1.6,75,9519.63,-0.332485,22.2883,10.9692,92.9127,0.167536,-9.80223,14.1009,2.85833,4.75496,2.26111,-2.69549,4.90182,-280.332,270.29,39.1338,10882.7,8012.26,4.62351,6.52013,5.79147,-0.930307,6.667,0.744552,663.484,68.2592,11275.9,0.066953,0.847429,0.0110283,9909.69 
76,2.4,76,6517.68,-0.700745,20.7766,10.6387,93.1575,-2.16177,2137.08,130.035,0.789524,4.23989,7.8278,1.39155,3.34323,-574.24,2432.42,57.5648,7227.68,157588,4.40536,7.85573,15.0595,5.00739,6.95907,0.616681,3237.85,117.226,8033.11,0.329552,0.940417,0.0261779,9825 
77,6,77,3062.81,-0.0215096,19.6279,9.91301,94.2193,0.0211073,-17.7949,500,3.21416,1.08893,5.09954,5.06963,7.36607,-990.724,7749.06,-9.25475,1241.07,6346.19,9.45248,7.32725,17.5762,11.308,13.6044,0.703447,9138.64,93.6776,2630.66,0.809031,0.982377,0.0615591,11295.8 
78,8,78,6660.74,-0.30809,21.2148,10.3825,93.0375,-0.0587436,293.405,500,1.52456,1.6149,5.89573,2.46733,3.24205,-594.696,3056.29,14.5427,7123.72,7731.35,5.2692,5.35955,13.385,6.21197,6.98669,0.640308,3890.41,76.3293,7957.84,0.373509,0.966805,0.0173622,10415.8 
79,2.8,79,6680.2,-0.887769,22.8206,10.7701,93.5469,-0.281589,1519.33,263.541,4.12045,3.93326,11.2796,2.97319,2.0716,-670.847,4141.36,27.6771,6563.25,21928.1,8.34459,8.1574,19.7279,7.19733,6.29574,0.603244,5082.29,97.3755,7504.18,0.452333,0.967558,0.0233454,11235.7 
