cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
48,43.9813,48,6329.51,-0.152472,17.4223,9.76074,118.926,0.0615208,273.812,500,-2.93213,-2.05909,-3.64258,-2.98322,-0.888191,5.94956,4834.08,-0.633971,3044.27,6084.2,-2.96959,-2.09655,-3.7175,-3.02068,-0.925654,0.707973,4827.65,-0.89621,3037.84,0.635879,1.00032,-0.000543745,7592.09 
49,43.9913,49,4997.73,-0.00509438,14.4635,9.47105,118.887,-0.00928839,7.12243,6.07471e-12,-0.329433,0.359078,-0.643116,1.00172,1.3645,-8.74754,4143.46,1.29734,2415.44,4461.46,-0.274352,0.414159,-0.532954,1.0568,1.41958,1.25583,4152.9,1.68291,2424.88,0.653019,0.999291,0.00127682,6359.55 
50,44.0913,50,6717.91,-0.029,16.8659,10.2471,118.9,0.00648843,59.88,500,-0.760341,-3.40601,-5.79827,-0.69103,-0.597888,12.4748,5081.19,-9.83217,3067.18,5638.69,-0.838891,-3.48456,-5.95537,-0.76958,-0.676438,0.492073,5067.72,-10.382,3053.71,0.645849,1.0036,-0.00630227,7846.6 
51,44.0213,51,7275.28,-0.0312294,18.8571,9.87073,119.185,0.00462467,25.1146,499.941,-0.854675,-4.05745,-5.48754,-1.95531,-1.00293,49.0085,5433.43,4.25872,3309.39,6063.03,-1.16327,-4.36604,-6.10473,-2.2639,-1.31152,0.598623,5380.51,2.09857,3256.46,0.644844,0.999318,0.0011857,8343.89 
52,44.2213,52,6276.45,-0.314111,16.8464,10.2072,118.842,0.668672,-100.577,499.661,-2.56275,-2.98187,-5.64773,-0.762434,-0.484808,40.1925,4795.46,3.5082,3012.82,7787,-2.81583,-3.23496,-6.15389,-1.01551,-0.737889,0.559116,4752.06,1.73663,2969.41,0.637499,0.999361,0.00107617,7454.23 
53,44.0563,53,7875.28,-0.30384,19.9863,10.2836,119.06,0.819604,512.512,432.145,-1.78322,-2.37469,-2.12118,-0.817628,-2.06798,68.1426,5608.25,8.21173,3757.75,20365,-2.2123,-2.80376,-2.97933,-1.2467,-2.49705,0.746206,5534.67,5.2082,3684.16,0.622765,0.998356,0.00259737,8887.25 
54,44.0813,54,6191.88,-0.0336882,15.9313,10.1697,119.016,0.0300105,9.55042,500,-1.49123,-0.129247,-2.32986,-2.20342,1.7107,30.7801,4744,-10.0828,2994.29,5283.51,-1.68504,-0.323062,-2.71749,-2.39724,1.51688,0.515249,4710.76,-11.4395,2961.05,0.636132,1.00427,-0.00716768,7405.32 
55,44.0263,55,7201.43,-0.284278,19.1938,9.82943,119.061,-0.0137196,223.696,147.676,-5.66226,-1.63635,1.41236,-0.417124,-0.596309,12.899,5337.43,-1.93594,3327.25,6241.54,-5.74348,-1.71757,1.24992,-0.498345,-0.67753,1.16921,5323.5,-2.50448,3313.32,0.638415,1.00082,-0.00139436,8338.63 
56,43.9863,56,6875.82,-0.203205,18.1424,9.97385,118.604,0.361854,214.623,499.4,-2.78554,-3.67073,-6.26926,0.99337,1.525,57.4431,5004.47,-4.0582,3282.14,8418.67,-3.14724,-4.03244,-6.99267,0.631666,1.1633,0.435045,4942.44,-6.59013,3220.11,0.627792,1.00234,-0.00378424,7872.73 
57,44.2013,57,5121.31,-0.272389,14.5128,9.79354,118.902,0.0423146,-139.261,22.2818,-4.69155,-3.75088,-5.5972,-0.881923,0.11781,32.8191,4110.36,-14.6495,2509.62,4818.69,-4.89821,-3.95754,-6.01051,-1.08858,-0.0888426,0.625366,4074.92,-16.096,2474.18,0.644111,1.00696,-0.0121294,6326.42 
58,44.0013,58,5973.22,-0.272725,16.2882,9.86312,119.014,0.654423,-20.1112,484.095,-1.96074,-0.692323,-2.59055,0.721843,-0.935804,34.6804,4610.65,0.68037,2743.27,5658.2,-2.17911,-0.910696,-3.0273,0.50347,-1.15418,0.552692,4573.2,-0.848244,2705.82,0.650018,1.00032,-0.000577813,7035.49 
