cyc,freq(MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
62,43.84,62,9534.85,-0.155829,15.8598,14.1731,119.727,0.0513733,-99.0649,491.907,-4.10437,-2.13881,-2.20621,-0.771187,-3.15012,-43.2789,4059.87,53.1088,5884.83,7483.09,-3.83185,-1.86629,-1.66117,-0.498672,-2.87761,0.845265,4114.59,55.2549,5939.56,0.535871,0.977039,0.0168481,7678.33 
63,44.27,63,5717.71,-0.130548,9.0636,15.3362,120.801,0.186984,0.976826,56.1805,-3.26503,0.815643,-2.52717,-1.12548,-2.3897,-30.2716,1972.61,23.403,4138.39,4530.91,-3.07442,1.00626,-2.14595,-0.934872,-2.19909,0.707958,2010.89,24.9041,4176.67,0.445194,0.978787,0.0108645,4516.89 
64,44.21,64,6121.88,-0.0110565,9.12096,16.1976,120.228,-0.00885066,-12.1092,1.17672e-12,-0.496183,-4.65418,-0.16275,-3.62808,-2.15178,-52.7549,2843.71,32.2938,3730.9,4812.83,-0.164,-4.322,0.501617,-3.29589,-1.8196,1.05512,2910.42,34.9097,3797.61,0.560884,0.979441,0.0166517,5188.98 
65,43.91,65,8134.74,0.00989765,13.4937,14.183,118.657,-0.0555301,42.913,500,-3.89317,-2.12395,-4.50543,-1.86258,-1.89694,-99.3792,3788.6,41.1801,4903.24,6307.64,-3.26741,-1.49818,-3.2539,-1.23682,-1.27117,0.690914,3914.26,46.108,5028.91,0.564698,0.979802,0.016609,6931.61 
66,43.99,66,8338.73,-0.154259,14.3063,13.8836,118.599,0.128406,-77.9437,32.1971,-2.25556,-5.7513,-4.59289,-3.34775,-0.580371,-60.5378,3431.98,49.1455,5318.78,6791.65,-1.87437,-5.37011,-3.83051,-2.96656,-0.199181,0.731017,3508.53,52.1474,5395.32,0.520111,0.974649,0.017493,6745.72 
67,44.1,67,8353.86,-0.147566,13.5935,14.5799,118.545,-0.0272274,195.256,336.419,-3.12218,-4.06606,-0.339779,-1.35635,-1.51563,-23.0066,3603.04,51.578,4946.24,6624.89,-2.97732,-3.9212,-0.0500464,-1.21148,-1.37076,0.994749,3632.13,52.7188,4975.33,0.548882,0.975229,0.0191453,6617.33 
69,43.92,69,7931.11,-0.0130581,13.3787,14.0996,120.832,-0.00245683,0.254063,500,-3.72516,-4.4898,-3.51819,-1.3284,-2.02688,-0.893304,3619.11,50.0126,4798,6140.73,-3.71953,-4.48417,-3.50694,-1.32277,-2.02125,0.767053,3620.24,50.0568,4799.13,0.556984,0.976374,0.0188517,6499.71 
70,43.94,70,7672.71,-0.159483,12.7628,14.4755,121.953,-0.139869,-103.581,271.629,-2.96914,-2.21175,-6.37524,-2.06954,-3.73118,-13.8284,3585.62,44.0538,4541.13,6485.8,-2.88207,-2.12468,-6.20109,-1.98246,-3.64411,0.631642,3603.1,44.7395,4558.61,0.568468,0.978732,0.0177579,6338.27 
71,44.19,71,2815.9,-0.0408746,-4.6058,16.566,118.178,0.0497881,-66.5294,500,-1.06575,-1.37946,-2.65308,-2.35163,-1.89875,-31.1389,1516.49,22.6148,1756.1,2591.63,-0.869675,-1.18338,-2.26093,-2.15555,-1.70268,0.723339,1555.86,24.1588,1795.48,0.590875,0.973545,0.0241867,2633.15 
72,43.96,72,8088.58,-0.0106381,12.8637,14.1898,121.768,-0.00532304,-17.7989,500,-3.21083,0.660454,-1.50987,-1.98149,-2.85733,-30.5633,3619.52,32.4815,4796.66,5945.18,-3.01838,0.852903,-1.12498,-1.78904,-2.66488,0.854736,3658.17,33.997,4835.31,0.557703,0.983997,0.0127862,6559.35 
