cyc,pulse time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
43,0.05,0.8,43,6005.65,-0.025402,19.5188,8.14772,124.129,0.00785173,-46.4565,1.20341e-12,-2.11036,2.19494,2.30379,-0.161715,-0.261241,-344.726,4298.24,17.8451,3451.61,5188.95,0.0602847,4.36558,6.64508,2.00893,1.90941,0.556678,4572.83,42.8076,3726.2,0.543685,0.983882,0.020724,8410.81,-0.00167965,0.735556,8.66462,8.32032,124.24,79.1536,0.573649,8.51781,8.98264,123.928,126.009,0.312057,-46.8559 
44,0.06,0.79,44,5916.16,-0.326149,19.0943,8.6672,123.935,-0.0576446,-167.469,136.198,-5.55216,0.232237,-7.73487,-1.26297,-2.38763,-350.215,4309.6,2.53874,3425.43,5701.64,-3.34695,2.43744,-3.32446,0.94224,-0.18242,0.0430866,4588.56,27.8986,3704.39,0.545992,0.989472,0.0136835,8404.08,-0.00176869,0.73374,8.87327,8.16327,124.141,79.1046,0.559389,8.90853,8.81146,123.601,125.864,0.540544,-46.7592 
45,0.04,0.81,45,7321.96,-0.0216145,22.2399,8.41206,124.281,-0.0114531,21.9459,500,0.109858,-1.16149,4.89886,-3.12357,-0.296779,-290.295,4996.1,6.86079,4051.94,6098.36,1.93777,0.666415,8.55467,-1.29566,1.53113,0.249216,5227.33,27.8817,4283.17,0.542311,0.990752,0.0118493,9638.99,-0.00167856,0.843397,8.90589,8.18103,124.409,78.7156,0.644841,8.80148,9.08922,123.935,125.381,0.474151,-46.6657 
46,0.02,0.83,46,8978.8,-0.0146253,25.8112,8.72569,124.291,0.00168516,10.5791,499.995,-0.686952,-1.72111,-1.68163,-3.49705,-1.18476,-283.803,5959.2,24.0951,4755.99,7332.24,1.10008,0.065922,1.89244,-1.71002,0.602271,0.0298634,6185.26,44.6459,4982.05,0.546557,0.987526,0.0162397,11316.8,-0.00163194,0.959357,8.97927,8.48396,124.509,78.9497,0.72739,8.91088,9.19659,123.911,125.806,0.597902,-46.8568 
47,0.08,0.77,47,4940.22,-0.00317994,16.6018,8.30431,124.241,-0.00933036,25.1009,7.80681e-11,-0.0542965,-3.19351,-3.72717,-2.80779,-1.67419,-310.038,3579.82,8.23072,3060.66,4495.62,1.89793,-1.24128,0.177286,-0.85556,0.278035,0.30859,3826.78,30.6814,3307.62,0.529026,0.986163,0.0168002,7233.63,-0.00166542,0.592787,8.91171,8.43242,124.457,79.1986,0.496178,8.64916,9.11528,123.945,125.999,0.511605,-46.8001 
48,0.03,0.82,48,8128.26,-0.128107,24.7749,8.45019,123.875,0.0298089,-3.61308,500,-0.926308,-3.73326,2.21775,-2.34993,-1.11828,-312.896,5377.6,11.0581,4550.83,6818.63,1.04392,-1.76304,6.1582,-0.379709,0.851943,-0.0417654,5626.83,33.7157,4800.07,0.532295,0.989623,0.0127737,10570.9,-0.00173425,0.920544,8.82461,8.16766,124.047,78.9305,0.73818,8.68778,8.94111,123.615,125.756,0.431401,-46.8257 
49,0.09,0.76,49,5191.31,-0.00761752,16.9432,8.32287,123.979,-0.0110812,7.59283,0.00498106,-1.91053,2.17389,-1.15232,-1.55074,0.230045,-299.592,3737.19,7.15182,3133.68,4593.27,-0.0240725,4.06034,2.62059,0.335719,2.1165,0.71231,3975.83,28.846,3372.31,0.533718,0.987462,0.0155125,7449.31,-0.00162669,0.628212,8.82896,8.34349,124.295,78.901,0.485945,8.7969,9.34017,123.555,125.637,0.739507,-46.7364 
50,0.1,0.75,50,3590.31,-0.227016,-12.9842,8.41777,123.776,0.356907,-623.958,491.886,1.14191,-0.0951704,-7.12428,-1.83317,-2.8013,-351.76,2726.16,9.88639,2482.33,10807.5,3.35685,2.11977,-2.6944,0.381771,-0.586363,2.0453,3006.34,35.3582,2762.52,0.513753,0.979833,0.0230345,5851.74,-0.00155978,0.464753,8.97434,8.25868,124.139,78.9784,0.399726,8.69027,8.98436,123.414,125.909,0.725827,-46.9307 
51,0.07,0.78,51,5446.16,-0.0138707,17.9084,-8.15872,123.916,0.00188698,-10.0762,303.615,-3.08804,-1.48493,-0.553177,-5.02107,-3.18199,-295.887,3878.98,4.05125,3228.66,4756.97,-1.22492,0.378187,3.17307,-3.15795,-1.31887,2.47551,4114.67,25.4771,3464.35,0.535558,0.989281,0.0133659,7682.95,-0.00160724,0.669981,8.584,8.33893,124.233,78.686,0.514743,8.7759,9.09812,123.71,125.384,0.522999,-46.6983 
52,0.05,0.8,52,6253.97,-0.154058,19.5246,8.42058,123.77,2.1998,-3141.68,500,-5.53165,1.80627,-1.42213,-5.76974,-2.77416,-337.836,4424.38,10.0468,3535.13,230330,-3.40438,3.93354,2.8324,-3.64247,-0.646897,4.05277,4693.48,34.5103,3804.23,0.545003,0.987296,0.0164361,8611.84,-0.0016329,0.753275,8.9125,8.14509,124.01,78.4836,0.562006,8.80984,9.01418,123.482,125.087,0.527818,-46.6032 
