cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
41,46.05,0,41,840.081,-0.122071,-9.03509,10.7545,97.0268,-0.1608,242.886,0.000222938,-2.45413,-4.45598,-1.19423,-2.91116,-6.66715,-317.419,-497.522,-20.201,4703.58,4434.54,-0.455428,-2.45728,2.80317,-0.912464,-4.66845,1.49261,-52.3112,12.7775,5148.79,-0.0116802,1.74659,0.00455068,4478.62,-0.0041671,-0.0139885,-8.87789,9.36516,71.732,61.9638,0.503994,11.5053,10.5749,96.6379,115.472,-24.9059,-53.5079 
42,45.9,3,42,764.513,0.00741914,-9.53227,11.7047,97.2683,0.0893673,-11.0288,500,3.07464,-6.989,-16.7726,-1.6497,-2.23857,-393.02,254.141,-4.44786,4992.04,3664.12,5.54938,-4.51425,-11.8231,0.825042,0.236179,-0.215524,805.39,36.3854,5543.29,0.141707,0.926732,0.0119469,5683.49,-0.00542134,0.0776753,11.5596,10.13,96.619,66.7151,0.439087,13.1214,11.3055,96.7882,115.895,-0.169117,-49.18 
43,45.9,0,43,683.241,-0.0263611,-8.77238,10.6968,97.1693,-0.0984962,30.3346,3.66691e-08,-5.69859,-3.0876,-1.1233,-3.71672,-2.93651,-313.004,-499.357,-18.7213,4752.07,3151.96,-3.72768,-1.11669,2.81851,-1.74581,-0.965603,1.59496,-60.3382,13.7986,5191.09,-0.0133852,1.66723,0.00487271,4507.82,-0.00425274,-0.0171918,6.26056,23.6895,115.95,93,0.500154,11.9315,10.3566,96.7682,115.311,19.1816,-22.3115 
44,46.05,3,44,-4176.5,0.000117002,-4.64665e-15,126.878,59.1544,0.000359769,5.73419,166.156,-4.21282,-3.29454,-10.5965,-4.31453,-6.24068,-586.444,-24.7286,-35.755,2745.34,0.067157,-0.520137,0.398147,-3.21109,-0.621845,-2.548,0.506208,797.817,25.1743,3567.89,0.202617,0.94767,0.0128308,3937.56,-0.00860945,0.0839908,11.395,9.93907,96.7104,67.5632,0.313859,12.3306,10.9328,96.5093,115.891,0.201122,-48.3281 
45,46.05,0,45,21751.4,0.487998,5.39632,83.0243,97.8226,0.195781,1489.66,499.999,7.41076,4.14598,15.1255,7.58573,5.47082,1211.41,1597.28,132.021,6200.37,24078.8,-0.217182,-3.48197,-0.130386,-0.0422154,-2.15712,0.978373,-101.842,6.15999,4501.24,-0.0263889,1.11838,0.0025146,3859.25,0.0178629,-0.0126834,10.6449,7.60527,118.079,73.2126,0.467538,11.5099,10.0113,96.5331,115.755,21.5462,-42.5419 
46,45.9,3,46,12138.5,1.08999,10.522,13.311,96.947,-2.00802,1250.14,135.544,7.89685,6.36676,-1.18954,5.28258,3.76076,382.633,1330.16,61.9291,5945.78,86277.9,5.48751,3.95742,-6.00822,2.87324,1.35143,1.78422,793.485,22.175,5409.11,0.14288,0.953374,0.00749525,5553.5,0.00621782,0.089854,10.9928,9.67516,96.7757,66.4471,0.450291,12.8061,11.2389,96.5348,115.964,0.240921,-49.517 
47,45.9,0,47,12129.3,0.796394,9.39697,13.3844,96.789,-0.859923,426.95,500,5.11908,0.561985,4.86571,0.815787,1.33941,460.244,602.597,76.4371,5636.21,16046.1,2.22104,-2.33605,-0.930361,-2.08225,-1.55863,0.80147,-42.9403,28.6195,4990.67,-0.00987393,-6.0108,0.0104533,4348.85,0.00760068,-0.0154674,11.4263,6.55247,119.278,69.8634,0.484252,11.8205,10.2844,96.4522,115.033,22.8262,-45.1695 
48,46.05,3,48,-2988.34,0.000117002,3.98269e-15,126.878,59.1544,0.000359769,5.73419,166.156,-3.86457,-0.690314,-7.25531,-4.7195,-3.2244,-591.68,45.6298,-10.8932,3287.68,0.067157,-0.138918,3.03534,0.195995,-0.993849,0.501249,0.924612,875.519,50.5801,4117.57,0.194604,0.908183,0.0221276,4498.98,-0.00777632,0.0855181,11.4514,9.26293,96.6221,66.4896,0.34596,12.5489,10.9053,96.5672,115.285,0.0548977,-48.7953 
49,46.05,0,49,25095.1,0.424509,5.99003,94.7517,99.2569,0.028527,349.869,7.14215e-05,10.9381,8.54158,17.7725,9.39046,5.47054,1438.22,1856.88,155.783,6654.24,18801.1,1.88199,-0.514496,-0.33968,0.33438,-3.58554,0.847221,-160.363,6.35775,4636.99,-0.0409068,1.07455,0.00251933,3920.19,0.021169,-0.00620203,51.1125,6.534,114.789,70.1254,0.474492,11.5553,10.2722,96.6125,115.888,18.1767,-45.763 
50,45.9,3,50,20329,2.38196,10.5354,13.5457,96.8504,-1.21916,-804.456,500,7.79506,6.2274,12.1548,6.58375,3.32599,981.353,2076.35,129.807,6506.81,36572.7,1.61574,0.048084,-0.20383,0.404434,-2.85333,0.793882,699.907,27.8483,5130.37,0.13422,0.934903,0.00990019,5214.63,0.0148242,0.0894209,10.8276,9.57104,96.3098,66.4803,0.427984,12.7408,11.4628,96.6026,116.637,-0.292751,-50.157 
51,45.9,0,51,4031.31,-0.242694,9.65968,11.9143,96.8973,-0.123214,111.874,176.779,5.14709,-1.33728,-5.92989,3.99911,2.28471,-113.589,-186.374,12.1925,5089.2,4195.22,5.86233,-0.622043,-4.49941,4.71435,2.99995,1.53215,-27.054,23.994,5248.52,-0.00589202,-1.81139,0.008351,4591.64,-0.000844583,-0.00948501,-20.7796,-19.5662,102.853,92.9989,0.517182,11.7383,10.4361,96.4419,114.452,6.41071,-21.4536 
