cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
56,-3.955,43.2677,56,8871.27,-0.372575,27.0904,8.63013,119.138,0.00711208,195.407,256.09,1.07867,-0.478482,-5.27263,-4.97936,-6.51332,-553.325,5221.66,-23.7178,5930.31,7656.01,4.56281,3.00565,1.69564,-1.49522,-3.02919,0.642246,5662.41,16.3498,6371.05,0.511149,0.994972,0.00470508,11077.8 
57,-4.03,43.1927,57,9990.36,-0.333779,28.8264,8.84108,119.322,-0.00860887,246.626,168.862,-3.14901,-0.957188,-4.16786,-1.56344,-3.42974,-492.803,5753.68,-24.631,6182.18,8365.55,-0.0459616,2.14586,2.03823,1.53961,-0.326693,0.619096,6146.22,11.0541,6574.72,0.523763,0.996862,0.00308758,11734.7 
58,-3.995,43.2277,58,7379.59,-0.185078,24.1734,8.2738,119.097,-0.604277,2458.28,403.079,1.32782,2.44192,-12.9166,-4.22136,-3.73453,-632.461,4383.42,-29.2029,5369.78,54868.2,5.31025,6.42436,-4.95174,-0.238919,0.247903,1.72907,4887.19,16.5952,5873.56,0.494669,0.994093,0.00517774,9879.72 
59,-4.02,43.2027,59,9553.99,-0.4547,29.1164,8.89845,119.391,0.813905,-287.559,34.5079,0.385342,-3.99025,-8.02736,-5.89786,-2.8778,-583.729,5641.46,-17.3336,6382.49,16053.2,4.06093,-0.314668,-0.67619,-2.22228,0.797784,1.41091,6106.42,24.9356,6847.45,0.511993,0.992905,0.00666348,11926.7 
60,-3.975,43.2477,60,9513.87,-0.420913,29.2047,8.71047,119.606,-0.235155,-140.617,412.693,-2.49991,-2.05954,-10.9814,-9.77781,-5.04517,-595.518,5169.89,-30.9209,6735.34,9357.56,1.24991,1.69028,-3.48177,-6.02799,-1.29535,0.557304,5644.25,12.202,7209.69,0.479444,0.996231,0.00310797,11772.5 
61,-4.015,43.2077,61,9793.4,-0.0180189,29.1495,8.58125,119.328,-0.0106534,22.0106,499.201,1.54831,-3.1708,-5.68074,-3.03477,-7.32282,-539.346,5310.22,-28.2065,6653.94,8150.48,4.94442,0.225318,1.11149,0.36135,-3.9267,0.590743,5739.83,10.8488,7083.55,0.488046,0.996703,0.00281335,11760.8 
62,-4.035,43.3027,62,9189.19,-0.422754,28.2752,8.7548,118.937,-1.08311,-1579.6,415.253,-0.88523,-0.146212,-11.7141,-0.661476,-5.71804,-599.35,5162.52,-24.6319,6353.06,63753.1,2.88872,3.62774,-4.16616,3.11247,-1.94409,2.18401,5639.92,18.7685,6830.47,0.492749,0.99421,0.00503617,11445.8 
63,-3.95,43.2727,63,8889.22,-0.368277,26.9835,-8.79147,119.399,0.235833,1524.16,29.1688,1.10628,-4.19206,-4.53202,-6.3314,-5.88467,-502.76,5229.65,-16.6624,5843.7,19423.6,4.27203,-1.02632,1.79948,-3.16565,-2.71892,3.14382,5630.12,19.7437,6244.16,0.514746,0.993901,0.0057909,10937.7 
64,-3.99,43.2327,64,7810.78,-0.0398895,24.8041,8.4129,119.333,-0.0601312,89.1922,499.639,-2.06914,1.08754,-6.75844,-5.26098,-4.93261,-600.537,4434.88,-14.3899,5714.33,6967.63,1.71228,4.86896,0.804409,-1.47956,-1.15119,0.830825,4913.23,29.0965,6192.68,0.482777,0.989743,0.00858091,10177 
65,-3.925,43.2977,65,9755.91,-0.065849,28.5621,8.68264,119.149,0.0469213,172.248,7.71919e-08,1.22919,-1.02371,-12.2523,-1.8804,2.77907,-604.635,5636.83,-2.21775,6249.72,8336.13,5.03642,2.78352,-4.63787,1.92682,6.5863,1.39656,6118.44,41.5654,6731.33,0.516757,0.988251,0.0112469,11840.1 
66,-4.025,43.1977,66,9782.44,-0.354586,29.0271,8.73715,118.942,0.41251,3724.27,2.32277e-06,1.99772,1.49818,-7.32309,-6.94049,-2.93251,-504.748,5536.41,-15.3701,6408.51,58267.5,5.17598,4.67644,-0.966573,-3.76223,0.245756,1.18002,5938.46,21.1799,6810.56,0.506373,0.993797,0.00569607,11727.4 
67,-4.01,43.2127,67,8811.55,0.0184764,26.7661,-8.54574,119.218,-0.227176,-37.3084,500,-3.9215,-3.71485,-0.569045,-7.6246,-5.35261,-607.047,5204.55,-20.0771,5951.97,7722.02,-0.0990826,0.107565,7.07579,-3.80218,-1.5302,-3.03894,5688.08,23.8806,6435.5,0.509764,0.992706,0.00678921,11158.3 
68,-3.935,43.2877,68,9515.13,-0.381425,28.6234,8.72912,119.491,-0.349068,504.31,418.538,-2.70596,-1.95153,-5.19088,-0.969339,1.08105,-534.999,5684.47,-18.9062,6080.67,13864.3,0.662783,1.41722,1.54661,2.39941,4.4498,0.852364,6110.61,19.8344,6506.82,0.524903,0.994352,0.00558383,11641.4 
69,-3.97,43.2527,69,9210.54,-0.407973,28.3498,8.68902,119.108,0.251111,309.247,243.334,0.139744,-1.62353,-4.33957,-3.07411,-3.20835,-607.587,5376.78,-30.7879,6257.75,10546.8,3.96556,2.20229,3.31205,0.751706,0.61746,0.694715,5860.74,13.2089,6741.72,0.50562,0.996071,0.00359622,11591.2 
70,-3.985,43.2377,70,9034.81,-0.245599,27.6484,8.66669,118.943,-0.20224,641.126,210.352,-1.94466,-2.46764,-5.06506,-7.56605,-6.52604,-597.949,5261.48,-2.15068,6010.77,12021.3,1.82047,1.29749,2.46519,-3.80093,-2.76091,3.51884,5737.76,41.1483,6487.06,0.509944,0.987605,0.0115498,11251.8 
