cyc,detuning (MHz),freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
55,-3.91,43.3127,55,10015.2,-0.0666179,28.5811,8.81651,119.265,0.00345859,56.5096,9.06364e-13,-3.04574,-5.59012,-1.4026,-3.66494,-1.33231,-437.08,5927.89,5.76988,6115.63,8209.32,-0.293568,-2.83794,4.10176,-0.912764,1.41987,-1.77643,6276.04,37.4199,6463.78,0.533212,0.989674,0.0105517,11770.3 
56,-3.9,43.3227,56,11104.8,-0.28784,29.7149,9.21606,118.847,0.0254747,72.5045,61.7818,-3.14201,-4.3079,-2.46307,-0.502034,-2.67036,-458.84,6142.92,2.36327,6757.09,8974.98,-0.252817,-1.4187,3.31532,2.38716,0.218838,0.219888,6508.4,35.589,7122.58,0.518078,0.990521,0.00912041,12562.6 
57,-4,43.2227,57,10062.1,-0.136945,27.7441,8.90259,119.247,0.10453,96.7453,0.00122667,-1.46934,-1.47181,-7.27278,-4.29733,-5.0715,-385.271,5616.22,3.32546,6234.33,8369.7,0.956602,0.954132,-2.42088,-1.87138,-2.64555,0.518432,5923.11,31.2238,6541.22,0.515809,0.990859,0.00871646,11483.1 
58,-4.02,43.2027,58,10369.7,-0.326646,29.0101,9.04126,119.085,-0.254347,267.351,174.506,-6.6223,1.93212,-4.6608,-3.61058,-7.60659,-457.343,5731.18,8.88817,6554.2,10751.9,-3.74253,4.81189,1.09873,-0.730812,-4.72683,1.33401,6095.48,42.0055,6918.49,0.508966,0.988084,0.0110606,11976.2 
59,-4.05,43.1727,59,10729.8,-0.320539,29.6518,9.08602,119.203,0.144714,-1214.67,490.987,-2.77316,-3.10745,-2.45299,-2.38226,-5.7059,-421.86,6041.71,-10.4683,6628.16,14492.6,-0.11682,-0.451113,2.85968,0.274079,-3.04956,6.91176,6377.74,20.0796,6964.19,0.518629,0.994521,0.00528322,12297.3 
60,-3.92,43.3027,60,10439.9,-0.0328855,28.7509,8.83755,119.208,0.005215,-3.55361,498.773,-3.65251,-2.89174,-6.72416,-6.24564,-1.64129,-418.539,5925.69,-14.0997,6231.53,8272,-1.01708,-0.256313,-1.4533,-3.61021,0.99414,0.727987,6259.08,16.2077,6564.92,0.528671,0.995489,0.00452727,11839.3 
61,-3.93,43.2927,61,10685.5,-0.136559,29.6409,8.87034,118.984,0.151443,145.63,2.8102e-05,-1.78839,-1.06899,-11.0708,-3.83527,-5.23092,-411.978,5711.51,-2.65789,6835.32,9277.03,0.805728,1.52513,-5.8826,-1.24116,-2.63681,0.208233,6039.67,27.1744,7163.47,0.497968,0.992188,0.00693949,12128.6 
62,-4.06,43.1627,62,10469.1,-0.336162,29.2917,9.06492,119.107,0.338563,423.4,428.898,-3.1187,-1.69302,-9.4916,-3.52699,-4.92993,-471.903,5863.87,4.83138,6589.59,13310.2,-0.147253,1.27842,-3.54871,-0.555545,-1.95848,0.280409,6239.76,39.003,6965.48,0.513121,0.98918,0.0102095,12160.4 
63,-4.06,43.1627,63,10587.1,-0.276521,29.0587,-8.99413,118.992,0.100912,235.281,422.838,-0.497331,-6.36108,-8.20088,-3.19752,-2.76978,-414.084,5916.89,-5.13692,6440.46,9280.97,2.11004,-3.75371,-2.98613,-0.590141,-0.162405,0.445199,6246.72,24.8479,6770.29,0.520496,0.993087,0.00671538,12001.5 
64,-4.06,43.1627,64,10247.2,-0.0309876,29.2177,8.70091,118.933,-0.00993066,2.51965,499.972,-1.47381,-4.55483,-4.29897,-2.04566,-3.65706,-477.095,5865.73,-4.59406,6372.54,8276.54,1.53034,-1.55068,1.70932,0.958481,-0.652916,0.142999,6245.75,29.9536,6752.56,0.521112,0.991677,0.00810513,11985.4 
