cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
47,0.175,47.3977,3.2,47,10909.6,-0.0673229,21.3358,11.7769,117.046,0.0188115,10.2832,2.05197e-12,-2.31406,-5.42564,-8.3333,-4.02935,-1.02253,-100.274,1456.54,22.6641,10439.5,8185.96,-1.68266,-4.79424,-7.0705,-3.39795,-0.391129,0.592161,1657.49,28.6624,10640.4,0.148955,0.970627,0.00493763,11127.5 
48,-1,46.2227,10,48,9400.64,-0.172456,21.5263,10.3944,117.551,0.122008,-201.723,418.041,-5.51716,-4.31524,-4.61772,-4.57797,-2.5833,-111.684,-149.828,17.9388,10540.2,8085.1,-4.81391,-3.612,-3.21123,-3.87472,-1.88005,0.815361,73.9796,24.6197,10764,0.00766316,0.631959,0.00419563,9653.93 
49,0.012,47.2347,1.4,49,9656.55,-0.187666,21.9856,10.5085,117.479,-0.150829,136.382,131.427,-2.70856,-5.77215,-9.19785,-1.853,-2.42048,-129.136,1133.68,22.748,9538.86,8190.63,-1.89543,-4.95902,-7.57158,-1.03987,-1.60734,0.556524,1392.46,30.4727,9797.63,0.137699,0.963116,0.0056967,10112.4 
50,0.045,47.2677,1.7,50,10080.9,-0.0414782,22.6432,10.5717,117.702,0.0103612,-36.3558,500,-2.9694,-3.78819,-6.75653,-3.36217,-2.21056,-99.2066,830.932,13.8937,10418.2,7804.76,-2.34472,-3.16351,-5.50718,-2.73749,-1.58588,0.640964,1029.74,19.8281,10617,0.0982676,0.967401,0.00342847,10478.9 
51,-0.002,47.2207,1.8,51,8838.05,-0.199124,21.0698,10.1831,117.254,0.17787,133.024,499.957,-5.0775,-5.02809,-10.9823,-4.19636,-4.36191,-165.348,1521.84,5.40815,8475.7,7754.77,-4.03635,-3.98694,-8.89995,-3.1552,-3.32076,0.619647,1853.18,15.2991,8807.05,0.191218,0.985758,0.0031898,9691.46 
52,0.1,47.3227,2.2,52,10330.3,-0.174512,22.4611,11.0682,117.205,0.146642,-388.384,8.72179e-08,-3.40884,-2.71922,-7.87856,-4.9987,-0.830355,-122.45,1196.4,12.6946,10349.1,9946.88,-2.6378,-1.94818,-6.33648,-4.22766,-0.0593169,0.583385,1441.78,20.0195,10594.4,0.132628,0.976277,0.00346881,10870.8 
53,-1,46.2227,10,53,9058.4,-0.0533015,21.0408,10.2774,117.593,0.0303482,16.851,500,-4.64053,-3.43946,-4.75218,-1.19756,-4.85449,-114.928,-184.358,-8.5211,10416.7,7056.12,-3.91686,-2.71579,-3.30483,-0.473883,-4.13082,0.772742,45.9513,-1.6462,10647,0.00482591,1.06689,-0.000284901,9521.79 
54,0.06,47.2827,1.8,54,10753.1,-0.178029,23.4156,10.8884,117.397,0.171068,-33.2848,111.238,-4.56963,-3.73766,-7.42124,-5.09316,-1.61321,-96.3542,983.377,9.18452,10833.9,8485.14,-3.96291,-3.13094,-6.20781,-4.48644,-1.00649,0.669702,1176.47,14.9483,11027,0.107044,0.978248,0.00249096,10990.5 
55,0.145,47.3677,2.8,55,10614.2,-0.196245,22.0149,11.4836,117.503,5.03309,3818.59,4.52311,-4.97097,-1.73896,-10.8349,-5.41902,-3.77032,-158.861,1449.51,28.305,10304.4,633882,-3.97067,-0.738654,-8.83432,-4.41871,-2.77002,0.573888,1767.86,37.8079,10622.7,0.157533,0.963924,0.00651362,11222.1 
56,0,47.2227,1.32,56,9813.74,-0.00856096,22.3062,10.4537,117.305,-0.0118647,-31.2766,500,-4.13792,-5.12865,-9.592,-3.99902,-2.40463,-164.436,440.531,10.734,10612,7602.9,-3.10251,-4.09324,-7.52118,-2.96361,-1.36922,0.605182,770.051,20.5704,10941.5,0.0732821,0.95534,0.00345126,10508 
57,0.205,47.4277,3.6,57,10092.2,-0.203425,20.4171,11.8669,117.154,0.108989,-77.3942,356.486,-5.04795,-6.61288,-13.9801,-4.77628,-6.45485,-150.213,1197.72,16.0097,10080.8,8161.85,-4.1021,-5.66703,-12.0884,-3.83042,-5.509,0.612513,1498.74,24.9953,10381.8,0.139567,0.971642,0.00441548,10738.5 
58,-0.004,47.2187,7,58,9382.55,-0.185942,21.7716,10.3159,117.598,0.195196,32.7196,140.401,-3.84533,-4.90692,-4.556,-2.26502,-0.092566,-104.669,724.152,0.272616,9788.48,7519.19,-3.18626,-4.24785,-3.23785,-1.60594,0.566508,0.72353,933.903,6.53382,9998.23,0.0949828,0.987905,0.00120236,9832.33 
59,0.16,47.3827,3,59,10180.6,-0.165255,21.1414,11.3463,117.369,0.0410705,-16.0781,498.109,-2.7454,-5.54455,-2.16646,-3.48717,-1.28105,-102.708,1301.74,13.357,9982.53,7830.31,-2.09867,-4.89782,-0.873015,-2.84045,-0.634322,0.923044,1507.56,19.5009,10188.4,0.142556,0.977864,0.00351348,10575.2 
60,0.006,47.2287,1.32,60,8957.27,-0.0603019,21.0551,10.1107,117.485,-0.114717,-88.4622,499.799,-4.94114,-4.2966,-11.6386,-6.12323,-3.10808,-161.185,583.875,-1.9205,9594.19,7260.4,-3.9262,-3.28166,-9.6087,-5.1083,-2.09314,0.599938,906.879,7.72141,9917.19,0.093174,0.985319,0.00143219,9733.18 
